@relation analcatdata-draft

@attribute Actual.date numeric
@attribute Lottery.pick.1970 numeric
@attribute Lottery.pick.1971 numeric
@attribute Month {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute Month.ordered.picks.1970 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute binaryClass {P,N}

@data
181,353,154,6,2,N
182,209,217,6,11,N
183,93,104,7,5,N
184,350,322,7,9,N
185,115,30,7,11,P
186,279,59,7,1,N
187,188,287,7,7,N
188,327,164,7,7,P
189,50,365,7,2,N
190,13,106,7,7,N
191,277,1,7,4,N
192,284,158,7,10,N
193,248,174,7,7,N
194,15,257,7,1,N
195,42,349,7,9,P
196,331,156,7,10,N
197,322,273,7,5,N
198,120,284,7,8,N
199,98,341,7,1,N
200,190,90,7,3,N
201,227,316,7,10,N
202,187,120,7,10,N
203,27,356,7,11,N
204,153,282,7,9,N
205,172,172,7,2,N
206,23,360,7,6,N
207,67,3,7,9,N
208,303,47,7,4,N
209,289,85,7,6,N
210,88,190,7,2,N
211,270,4,7,1,P
212,287,15,7,2,N
213,193,221,7,3,N
214,111,326,8,2,N
215,45,102,8,1,N
216,261,279,8,2,N
217,145,300,8,3,N
218,54,64,8,4,N
219,114,251,8,4,N
220,168,263,8,10,N
221,48,49,8,1,N
222,106,125,8,6,N
223,21,359,8,3,N
224,324,230,8,1,N
225,142,320,8,9,N
226,307,58,8,5,N
227,198,103,8,7,N
228,102,270,8,6,N
229,44,329,8,10,N
230,154,343,8,11,N
231,141,109,8,4,N
232,311,83,8,9,N
233,344,69,8,9,N
234,291,50,8,10,N
235,339,250,8,1,N
236,116,10,8,2,N
237,36,274,8,10,N
238,286,364,8,1,N
239,245,91,8,3,N
240,352,232,8,12,N
241,167,248,8,10,N
242,61,32,8,9,N
243,333,167,8,10,N
244,11,275,8,10,N
245,225,283,9,8,N
246,161,161,9,9,N
247,49,183,9,6,N
248,232,231,9,7,N
249,82,295,9,6,N
250,6,21,9,5,N
251,8,265,9,1,N
252,184,108,9,4,N
253,263,313,9,4,N
254,71,130,9,10,N
255,158,288,9,9,N
256,242,314,9,3,N
257,175,238,9,9,N
258,1,247,9,3,N
259,113,291,9,3,N
260,207,139,9,4,N
261,255,200,9,8,N
262,246,333,9,4,N
263,177,228,9,9,N
264,63,261,9,10,N
265,204,68,9,3,N
266,160,88,9,11,N
267,119,206,9,3,N
268,195,237,9,3,N
269,149,107,9,4,N
270,18,93,9,7,N
271,233,338,9,4,N
272,257,309,9,6,N
273,151,303,9,4,N
274,315,18,9,6,N
275,359,306,10,3,N
276,125,191,10,5,N
277,244,134,10,7,P
278,202,266,10,5,N
279,24,166,10,7,N
280,87,78,10,1,N
281,234,131,10,11,N
282,283,45,10,11,N
283,342,302,10,10,N
284,220,160,10,7,N
285,237,84,10,2,P
286,72,70,10,8,N
287,138,92,10,7,N
288,294,115,10,10,N
289,171,310,10,7,N
290,254,34,10,2,N
291,288,290,10,8,N
292,5,340,10,2,N
293,241,74,10,3,N
294,192,196,10,10,N
295,243,5,10,5,N
296,117,36,10,5,N
297,201,339,10,2,N
298,196,149,10,5,N
299,176,17,10,2,N
300,7,184,10,3,N
301,264,318,10,6,N
302,94,28,10,2,N
303,229,259,10,7,N
304,38,332,10,12,N
305,79,311,10,1,N
306,19,243,11,1,N
307,34,205,11,8,N
308,348,294,11,5,N
309,266,39,11,11,N
310,310,286,11,11,N
311,76,245,11,8,N
312,51,72,11,4,N
313,97,119,11,5,N
314,80,176,11,12,N
315,282,63,11,9,N
316,46,123,11,4,N
317,66,255,11,3,N
318,126,272,11,1,N
319,127,11,11,5,N
320,131,362,11,12,N
321,107,197,11,5,N
322,143,6,11,7,N
323,146,280,11,3,N
324,203,252,11,8,N
325,185,98,11,1,N
326,156,35,11,5,N
327,9,253,11,7,N
328,182,193,11,12,N
329,230,81,11,1,N
330,132,23,11,5,P
331,309,52,11,7,N
332,47,168,11,3,N
333,281,324,11,8,N
334,99,100,11,3,N
335,174,67,11,6,N
336,129,347,12,4,P
337,328,321,12,1,N
338,157,110,12,2,N
339,165,305,12,8,N
340,56,27,12,4,N
341,10,198,12,6,N
342,12,162,12,10,N
343,105,323,12,3,N
344,43,114,12,8,N
345,41,204,12,4,N
346,39,73,12,4,P
347,314,19,12,2,N
348,163,151,12,11,N
349,26,348,12,1,N
350,320,87,12,7,N
351,96,41,12,4,N
352,304,315,12,8,N
353,128,208,12,6,N
354,240,249,12,3,N
355,135,218,12,1,N
356,70,181,12,6,N
357,53,194,12,5,N
358,162,219,12,6,N
359,95,2,12,10,N
360,84,361,12,6,N
361,173,80,12,5,N
362,78,239,12,3,N
363,123,128,12,2,N
364,16,145,12,5,N
365,3,192,12,2,N
366,100,126,12,6,P
