@relation fishcatch

@attribute Species {1,2,3,4,5,6,7}
@attribute Length1 numeric
@attribute Length2 numeric
@attribute Length3 numeric
@attribute Height numeric
@attribute Width numeric
@attribute Sex {1,0}
@attribute binaryClass {P,N}

@data
5,10.4,11,12,18.3,11.5,0,P
5,10.7,11.2,12.4,16.8,10.3,1,P
5,10.8,11.3,12.6,15.7,10.2,1,P
5,11.3,11.8,13.1,16.9,9.8,1,P
5,11.3,11.8,13.1,16.9,8.9,0,P
5,11.4,12,13.2,16.7,8.7,0,P
5,11.5,12.2,13.4,15.6,10.4,0,P
5,11.7,12.4,13.5,18,9.4,0,P
5,12.1,13,13.8,16.5,9.1,0,P
5,13.2,14.3,15.2,18.9,13.6,0,P
5,13.8,15,16.2,18.1,11.6,0,P
6,30,32.3,34.8,16,9.7,?,P
6,31.7,34,37.8,15.1,11,0,P
6,32.7,35,38.8,15.3,11.3,?,P
6,34.8,37.3,39.8,15.8,10.1,?,P
6,35.5,38,40.5,18,11.3,?,N
6,36,38.5,41,15.6,9.7,1,P
6,40,42.5,45.5,16,9.5,?,N
6,40,42.5,45.5,15,9.8,?,N
6,40.1,43,45.8,17,11.2,?,N
6,42,45,48,14.5,10.2,?,N
6,43.2,46,48.7,16,10,0,N
6,44.8,48,51.2,15,10.5,0,N
6,48.3,51.7,55.1,16.2,11.2,?,N
6,52,56,59.7,17.9,11.7,?,N
6,56,60,64,15,9.6,?,N
6,56,60,64,15,9.6,0,N
6,59,63.4,68,15.9,11,0,N
7,7.5,8.4,8.8,24,16,?,P
7,12.5,13.7,14.7,24,13.6,?,P
7,13.8,15,16,23.9,15.2,?,P
7,15,16.2,17.2,26.7,15.3,?,P
7,15.7,17.4,18.5,24.8,15.9,?,P
7,16.2,18,19.2,27.2,17.3,?,P
7,16.8,18.7,19.4,26.8,16.1,?,P
7,17.2,19,20.2,27.9,15.1,?,P
7,17.8,19.6,20.8,24.7,14.6,?,P
7,18.2,20,21,24.2,13.2,?,P
7,19,21,22.5,25.3,15.8,?,P
7,19,21,22.5,26.3,14.7,?,P
7,19,21,22.5,25.3,16.3,1,P
7,19.3,21.3,22.8,28,15.5,0,P
7,20,22,23.5,26,14.5,0,P
7,20,22,23.5,24,15,?,P
7,20,22,23.5,26,15,?,P
7,20,22,23.5,25,15,?,P
7,20,22,23.5,23.5,17,0,P
7,20.5,22.5,24,24.4,15.1,0,P
7,20.5,22.5,24,28.3,15.1,0,P
7,20.7,22.7,24.2,24.6,15,?,P
7,21,23,24.5,21.3,14.8,?,P
7,21.5,23.5,25,25.1,14.9,?,P
7,22,24,25.5,28.6,14.6,?,P
7,22,24,25.5,25,15,?,P
7,22.6,24.6,26.2,25.7,15.9,?,P
7,23,25,26.5,24.3,13.9,0,P
7,23.5,25.6,27,24.3,15.7,?,P
7,25,26.5,28,25.6,14.8,?,P
7,25.2,27.3,28.7,29,17.9,0,P
7,25.4,27.5,28.9,24.8,15,0,P
7,25.4,27.5,28.9,24.4,15,?,P
7,25.4,27.5,28.9,25.2,15.8,0,P
7,25.9,28,29.4,26.6,14.3,?,P
7,26.9,28.7,30.1,25.2,15.4,0,P
7,27.8,30,31.6,24.1,15.1,0,P
7,30.5,32.8,34,29.5,17.7,?,N
7,32,34.5,36.5,28.1,17.5,?,N
7,32.5,35,37.3,30.8,20.9,0,N
7,34,36.5,39,27.9,17.6,0,N
7,34,36,38.3,27.7,17.6,0,N
7,34.5,37,39.4,27.5,15.9,0,N
7,34.6,37,39.3,26.9,16.2,0,N
7,36.5,39,41.4,26.9,18.1,0,N
7,36.5,39,41.4,26.9,14.5,?,N
7,36.6,39,41.3,30.1,17.8,?,N
7,36.9,40,42.3,28.2,16.8,0,N
7,37,40,42.5,27.6,17,0,N
7,37,40,42.4,29.2,17.6,0,N
7,37.1,40,42.5,26.2,15.6,0,N
7,39,42,44.6,28.7,15.4,0,N
7,39.8,43,45.2,26.4,16.1,0,N
7,40.1,43,45.5,27.5,16.3,0,N
7,40.2,43.5,46,27.4,17.7,1,N
7,41.1,44,46.6,26.8,16.3,0,N
