@relation analcatdata-braziltourism

@attribute Age numeric
@attribute Sex {0,1,4}
@attribute Income numeric
@attribute Travel_cost numeric
@attribute Access_road {0,1}
@attribute Active {0,1,2,3,4,5,6}
@attribute Passive {0,1,2,3,4}
@attribute Logged_income numeric
@attribute binaryClass {P,N}

@data
40,0,937.5,170.4,0,0,0,6.843217,P
21,0,175.88,48,0,1,0,5.169802,P
22,0,1000,535.5,0,0,0,6.907755,P
?,0,1000,48,0,0,0,6.907755,P
15,1,322.44,48,0,0,0,5.775917,P
28,0,351.75,48,0,0,0,5.862921,P
34,1,?,48,0,2,2,?,P
41,0,?,303.6,0,0,1,?,P
28,1,375,48.0003,0,2,1,5.926926,P
25,0,2125,170.4,0,0,0,7.661527,P
23,1,343.75,48.0003,0,2,2,5.839915,P
40,1,625,48.0003,0,2,3,6.437752,P
42,1,400,535.5,1,0,0,5.991465,P
24,0,1000,303.6,0,0,0,6.907755,P
31,0,1312.5,48.0003,0,2,1,7.179689,P
19,0,1250,48.0003,0,1,0,7.130899,P
20,1,312.5,48.0003,1,1,0,5.744604,P
23,1,375,48.0003,0,1,2,5.926926,P
41,0,375,239.1,0,2,1,5.926926,P
49,1,187.5,48.0003,1,2,1,5.233779,P
28,1,1093.75,82.2,0,2,1,6.997367,P
31,1,937.5,125.4,0,1,2,6.843217,P
22,1,625,48.0003,1,1,2,6.437752,P
26,0,3000,48,0,2,1,8.006368,P
55,1,1500,48.0003,1,1,1,7.31322,P
16,1,?,48.0003,0,3,2,?,P
33,0,1093.75,48,1,1,1,6.997367,P
28,1,?,48.0003,0,6,3,?,P
18,1,937.5,48.0003,1,1,1,6.843217,P
24,1,58.63,48.0003,1,0,0,4.071247,P
28,1,?,87,0,0,1,?,P
21,0,625,48.0003,0,1,0,6.437752,P
18,0,?,48.0003,1,5,3,?,P
37,0,1250,60,0,3,0,7.130899,P
20,1,117.25,48.0003,0,1,0,4.764308,P
33,0,431.25,48.0003,1,1,1,6.066688,P
28,0,2187.5,551.7,0,0,0,7.690515,P
36,0,1250,48,1,2,0,7.130899,P
18,0,117.25,48.0003,0,3,2,4.764308,P
20,1,3125,48.0003,0,0,1,8.04719,P
41,1,?,48.0003,1,1,1,?,P
19,1,?,48,0,1,3,?,P
49,1,781.25,170.4,0,0,0,6.660895,P
29,1,1500,176.4,0,2,1,7.31322,P
62,0,?,48.0003,0,3,3,?,P
35,0,718.75,138,0,1,2,6.577514,P
42,1,375,48,1,0,0,5.926926,P
20,0,265.63,48,0,1,2,5.582104,P
36,1,562.5,48,0,2,2,6.332391,P
38,1,1000,87,0,2,1,6.907755,P
28,0,800,261.3,0,2,1,6.684612,P
38,1,1250,48.0003,0,1,1,7.130899,P
17,1,2500,48.0003,0,2,1,7.824046,P
24,0,203.13,177.9,1,2,2,5.313846,P
50,0,?,?,0,0,0,?,P
43,0,1718.75,161.7,0,0,0,7.449353,P
19,1,?,52.2,0,1,2,?,P
32,1,750,48.0003,0,0,2,6.620073,P
25,1,625,52.2,0,1,2,6.437752,P
24,1,1562.5,48,1,3,2,7.354042,P
48,4,3500,48,0,1,2,8.160518,P
44,0,2500,48.0003,0,2,2,7.824046,P
36,1,1562.5,48.0003,0,2,2,7.354042,P
36,1,1093.75,158.4,0,1,3,6.997367,P
26,0,968.75,48.0003,0,2,2,6.876007,P
37,0,1562.5,48,1,0,0,7.354042,P
38,0,781.25,170.4,0,0,0,6.660895,P
35,1,1031.25,403.8,0,0,0,6.938527,P
59,0,625,48,1,2,1,6.437752,P
17,1,1562.5,48.0003,1,2,2,7.354042,P
43,1,2500,48,0,0,0,7.824046,P
48,1,1875,48.0003,0,3,1,7.536364,P
23,1,562.5,48,0,0,0,6.332391,P
28,0,781.25,48.0003,0,2,0,6.660895,N
20,0,?,48.0003,0,4,1,?,N
42,0,1250,25.2,0,2,0,7.130899,N
36,0,222.772277,48.0003,0,1,1,5.40615,N
22,0,297.029703,48.0003,0,0,0,5.693832,N
33,0,445.544555,21,1,0,1,6.099297,N
19,1,1980.19802,48.0003,0,0,1,7.590952,N
25,1,866.336634,45,0,0,0,6.764274,N
23,0,?,48.0003,1,0,0,?,N
34,0,1406.25,48,1,1,3,7.248682,N
28,0,1562.5,82.2,1,2,3,7.354042,N
48,1,2187.5,170.4,0,0,1,7.690515,N
42,0,656.25,420.9,0,2,0,6.486542,N
21,0,187.5,48.0003,0,3,1,5.233779,N
32,1,?,176.4,0,2,2,?,N
18,0,375,48.0003,0,3,2,5.926926,N
31,0,468.75,60,0,2,2,6.15007,N
43,0,468.75,60,0,1,1,6.15007,N
17,0,?,190.8,0,1,0,?,N
43,0,937.5,48.0003,0,1,2,6.843217,N
20,0,1562.5,48.0003,0,3,1,7.354042,N
35,1,2812.5,197.4,0,2,3,7.941829,N
28,0,1250,48,0,2,1,7.130899,N
29,1,156.25,48.0003,0,2,1,5.051457,N
69,0,500,48.0003,0,1,1,6.214608,N
46,0,2500,48.0003,0,0,0,7.824046,N
32,1,2000,48.0003,0,0,0,7.600902,N
64,0,1250,48.0003,1,0,0,7.130899,N
53,0,250,48,0,0,0,5.521461,N
28,0,312.5,48.0003,0,0,0,5.744604,N
19,0,1562.5,82.2,0,1,1,7.354042,N
30,0,312.5,48.0003,0,1,1,5.744604,N
23,1,625,190.8,0,1,1,6.437752,N
22,1,117.25,29.4,1,0,0,4.764308,N
18,0,175.88,29.4,0,0,0,5.169802,N
53,0,312.5,29.4,0,0,0,5.744604,N
29,1,586.25,29.4,1,1,2,6.373746,N
32,1,875,48,0,2,0,6.774224,N
47,0,1406.25,170.4,0,2,0,7.248682,N
54,0,218.75,52.2,0,0,0,5.38793,N
29,0,117.25,48.0003,0,2,1,4.764308,N
26,1,312.5,48.0003,0,0,0,5.744604,N
36,0,?,48.0003,0,0,1,?,N
17,1,2500,176.4,0,2,1,7.824046,N
35,1,3125,161.7,0,1,1,8.04719,N
27,1,700,595.2,0,2,1,6.55108,N
32,0,700,190.8,0,0,0,6.55108,N
66,0,265.63,48.0003,0,0,1,5.582104,N
53,1,156.25,29.4,1,0,0,5.051457,N
31,1,312.5,48.0003,0,1,0,5.744604,N
28,0,?,48.0003,0,1,0,?,N
17,0,156.25,48.0003,0,3,2,5.051457,N
37,0,1562.5,48,0,3,1,7.354042,N
21,0,1172.5,48.0003,0,2,2,7.066894,N
38,0,900,170.4,0,2,2,6.802395,N
32,1,1000,161.7,0,3,4,6.907755,N
22,1,2812.5,52.2,0,4,3,7.941829,N
27,1,1250,170.4,0,2,3,7.130899,N
32,1,781.25,176.4,0,2,2,6.660895,N
25,1,1406.25,303.6,0,2,3,7.248682,N
21,1,562.5,48.0003,0,3,1,6.332391,N
49,0,843.75,48.0003,0,2,2,6.737856,N
55,0,3125,595.2,1,2,2,8.04719,N
19,0,437.5,48.0003,0,2,1,6.081077,N
20,1,1732.673267,48.0003,0,1,1,7.457421,N
26,0,625,48.0003,0,2,2,6.437752,N
20,1,?,48.0003,0,4,2,?,N
23,0,140.625,48.0003,0,3,2,4.946097,N
19,1,?,48.0003,0,?,3,?,N
19,1,1250,48.0003,0,2,2,7.130899,N
47,0,?,161.7,0,4,3,?,N
25,0,1875,48.0003,0,5,3,7.536364,N
21,1,937.5,48.0003,0,5,2,6.843217,N
36,1,4687.5,170.4,0,1,2,8.452655,N
45,0,1187.5,203.7,0,0,3,7.079606,N
47,0,625,21,0,4,2,6.437752,N
13,0,625,48.0003,0,3,2,6.437752,N
32,0,187.5,48.0003,0,0,2,5.233779,N
27,1,562.5,48.0003,0,4,3,6.332391,N
35,1,1250,48.0003,0,3,2,7.130899,N
24,1,1250,48.0003,0,4,3,7.130899,N
30,0,562.5,82.2,0,1,0,6.332391,N
28,0,1250,48.0003,0,0,0,7.130899,N
38,0,1500,48.0003,0,1,0,7.31322,N
22,0,1093.75,48.0003,0,5,0,6.997367,N
35,0,2000,48,0,4,4,7.600902,N
22,0,937.5,48.0003,0,5,2,6.843217,N
27,1,93.75,48.0003,0,4,3,4.540632,N
21,0,625,21,0,1,0,6.437752,N
28,0,625,21,0,0,0,6.437752,N
24,0,3125,48.0003,0,2,1,8.04719,N
22,0,187.5,48.0003,0,6,1,5.233779,N
24,0,256.63,82.2,0,0,0,5.547635,N
66,0,937.5,29.4,0,0,0,6.843217,N
