@relation disclosure-X_BIAS

@attribute Age numeric
@attribute Civil numeric
@attribute Can/US numeric
@attribute binaryClass {P,N}

@data
48.5508,20.766737,7.195625,P
44.05683,28.215953,13.898368,N
40.59795,24.29844,11.505016,N
62.59774,20.919083,10.388981,N
64.52395,21.890008,11.146322,N
30.92853,15.16459,9.504353,N
38.29697,22.088098,7.034256,P
29.53164,26.062636,12.482617,P
35.11554,19.199661,6.712813,P
31.24179,16.232492,7.339393,N
42.1688,21.48458,17.471127,P
55.3512,12.377082,9.109013,N
30.60091,15.007547,11.457449,N
60.88695,17.859766,16.815912,N
36.29126,19.428858,7.082709,N
68.82696,22.461753,15.021384,N
43.89838,17.414551,9.249423,P
30.80643,19.919702,11.187533,N
42.90932,17.627355,10.170691,N
33.03918,11.400503,6.404351,N
54.58098,27.654524,10.258914,P
41.29086,17.79053,12.072433,P
49.88762,30.529624,9.423292,N
55.23307,17.773395,5.016054,P
57.09559,9.726063,12.27063,N
59.86246,18.180797,11.095749,P
24.46155,18.242142,7.086545,P
54.98171,21.274295,8.780093,N
55.61813,16.746416,10.894854,P
57.69144,22.466682,14.11415,N
33.425,9.858587,11.561,N
43.34206,22.688619,9.835175,P
36.48562,20.910889,6.617271,N
38.76935,21.933416,10.116841,N
38.16749,18.797032,7.077623,N
41.34369,13.519761,6.231202,N
49.17934,23.330185,3.628963,P
35.70558,22.617787,5.605206,N
45.12984,18.996999,7.167319,N
46.56104,6.65812,11.099651,N
40.27925,17.691111,5.570295,N
61.63084,19.977704,8.538952,N
35.1276,16.813331,11.137175,N
29.14377,12.271096,9.038587,N
39.1668,21.347435,7.0454,P
29.62863,14.875395,9.950431,N
34.20681,17.661148,8.68912,N
46.66138,12.902335,13.130124,P
35.19904,22.229739,2.556927,P
35.78227,20.435266,8.507245,P
53.31686,18.036062,13.330184,P
35.06906,8.709831,9.465636,P
37.13511,23.812197,10.68145,N
14.37154,18.770591,7.405816,N
41.7808,15.801459,13.842197,N
57.22514,19.712963,7.918347,N
53.65893,19.433449,12.638032,P
30.95053,18.961879,8.706693,N
49.2282,18.87763,5.693897,N
54.09913,11.926927,13.698176,N
33.81192,14.61923,4.701334,N
57.54606,17.33392,13.647675,N
61.79682,12.790605,7.545257,N
39.05817,23.198735,10.64464,P
23.26574,14.75468,7.074944,P
46.60449,23.442024,9.883852,P
38.94647,19.126452,11.535457,P
24.81329,15.740611,6.995572,N
46.23423,24.792988,6.147864,P
70.29629,12.006633,10.939566,N
56.20188,9.823993,5.172895,P
41.84103,16.692216,7.696428,N
47.37795,15.37268,9.916922,N
59.88674,20.321144,12.390783,P
36.37065,14.117194,6.615176,P
47.16227,16.765661,8.526417,P
41.59091,21.145058,11.290545,N
58.10445,10.391472,8.797247,N
23.10132,13.331694,7.797748,N
42.41766,19.863965,8.278627,P
54.98083,14.711447,9.25665,P
16.96162,9.443276,12.299489,P
24.55376,17.227336,11.72417,N
26.33586,21.311578,11.364397,N
60.46877,18.99506,11.076342,P
71.17361,17.724629,9.673689,N
52.03409,22.92203,9.673463,P
54.57599,14.074689,11.509513,P
34.0869,27.941119,8.114843,N
28.93464,15.151774,8.198336,P
29.55655,17.148503,6.944246,P
56.18342,19.764625,9.655405,N
42.23851,18.262393,6.860709,P
52.84455,19.3502,8.871596,N
47.91213,15.538677,8.351936,P
36.0419,11.216219,11.807213,P
30.47829,23.393447,12.673605,N
65.54899,12.05584,11.265896,N
48.33793,16.846848,7.788146,P
56.71327,21.515914,9.121818,N
43.58911,6.419895,10.078188,N
14.79888,11.516309,8.457625,N
58.19262,22.645483,6.172131,P
39.5164,16.291101,7.389027,P
53.60874,21.199402,5.329041,N
69.09475,14.534605,12.274006,P
56.20882,15.296017,7.461629,P
45.82362,24.153173,14.310264,N
41.57724,23.944098,11.222187,N
29.6466,21.842308,12.342195,P
33.63723,14.7186,13.514638,N
40.41466,15.349022,6.369101,N
47.8814,21.949343,11.515462,N
22.74127,14.627164,8.479685,N
26.13136,20.462911,12.679117,P
55.73829,22.162889,11.273514,N
48.78034,11.767219,6.061764,P
46.80493,14.563201,8.064897,N
38.79711,19.180337,6.212635,N
43.17981,16.219139,7.874239,P
52.22239,17.289051,8.011162,N
40.54111,15.563346,9.259186,P
53.2794,19.124688,5.543775,P
63.89846,20.45024,6.861956,P
44.82385,19.974279,11.221296,P
51.91839,17.062731,11.967294,P
53.20617,17.752217,13.321251,N
54.95166,15.104534,9.381776,N
51.62719,15.047487,12.487891,P
91.94459,19.588072,13.678752,P
43.51311,23.198537,8.001716,N
70.12461,14.423045,14.169959,P
37.46485,15.54808,8.493279,P
56.63624,19.480145,10.009363,N
61.03989,22.615826,11.404817,P
45.54119,17.43247,16.94234,N
37.18458,19.633485,9.266108,N
62.52043,26.458374,8.196291,N
57.80513,21.729942,9.455248,N
56.08272,9.117295,9.54956,N
39.22445,27.625101,12.404199,P
32.42597,15.384853,8.413819,N
60.82567,22.273202,9.977028,P
45.40749,13.339865,8.009123,P
23.29609,16.060549,6.579686,N
44.6705,13.013095,11.083303,N
53.78453,6.052379,13.015147,N
25.37142,9.34583,7.320648,P
68.25812,15.937353,16.454549,N
61.42267,16.935752,12.247836,P
41.53368,12.195325,11.816814,N
40.2063,15.436814,10.813097,N
53.4671,12.377111,12.061945,N
65.61153,18.597391,10.01307,N
53.37299,26.434646,10.273378,P
46.4507,19.3341,7.110023,P
29.0559,20.507399,13.104157,N
52.99711,19.309392,12.070356,P
36.84536,22.482558,10.151361,N
30.70343,15.406966,12.692309,P
45.94253,14.706637,4.718794,N
55.86264,15.431608,7.137593,N
69.9651,22.382061,10.800928,P
56.34068,18.495879,10.239097,N
38.36676,18.280234,16.752202,P
49.56986,23.419962,8.97405,P
68.74405,12.436139,8.219016,P
44.62145,21.201032,10.637473,P
33.34112,24.880353,9.491382,N
19.77634,12.156923,11.131433,P
27.22417,20.468225,7.037702,P
36.19063,22.686109,10.542895,N
53.79924,17.374673,11.032784,N
13.59649,15.039345,11.407595,P
14.7543,17.694784,12.241643,P
27.33502,22.780978,9.451763,P
55.25422,22.256701,12.493911,N
36.55557,15.541889,8.662405,P
29.64146,25.258861,6.702272,N
34.83502,21.971171,12.085118,N
57.2056,24.720617,11.888648,P
55.83575,17.593661,8.800183,N
51.52365,16.488702,8.866583,N
60.53169,20.297668,6.559844,N
59.29629,23.000065,11.894792,P
46.40014,15.871355,13.217841,N
64.96523,17.465204,10.280937,P
35.63511,10.577788,3.615873,P
53.65412,22.340214,9.342364,N
14.76188,19.999678,13.248253,N
35.24474,12.642164,13.640046,N
26.43518,16.053349,7.858698,P
37.44892,21.012571,9.340258,P
46.60059,23.367544,8.18216,N
78.21658,17.493271,10.778804,N
33.21391,22.908103,8.570925,N
39.88428,21.290869,8.125732,N
14.61102,9.710113,11.992576,P
34.30317,6.890524,9.875692,N
16.77547,15.077033,9.801464,N
28.08265,14.427995,8.069751,P
27.6012,16.828333,7.556235,N
59.54406,24.950137,10.180288,N
24.5961,27.212773,11.683876,P
53.41126,17.664985,10.078392,N
47.56726,21.31978,9.73627,N
54.33082,21.944831,9.18143,P
63.74151,22.16432,13.850695,P
27.2174,18.047171,8.525893,N
41.84361,19.288455,9.497381,N
26.04513,21.551368,9.212071,N
44.57237,24.121143,15.057086,N
37.3878,23.17131,11.64671,N
38.28696,12.825075,10.941141,P
22.12108,24.133579,12.615256,N
30.30861,18.133094,6.95887,P
19.33831,20.906443,12.330411,N
28.31919,20.562393,10.749802,P
26.31214,18.513534,13.173749,P
35.897613,14.365131,8.753803,P
51.668536,19.338263,13.033627,N
44.149149,18.697752,11.892224,N
34.650692,18.848848,9.524935,N
32.060495,19.597542,6.603394,N
33.74492,12.447207,10.720647,P
25.45733,19.532522,9.785742,N
13.351258,20.846035,10.839996,N
36.859204,19.695427,10.726029,P
34.12618,18.26971,7.733952,N
61.537254,18.123506,13.600122,N
44.402586,17.103921,11.272765,N
28.594007,16.089747,13.144303,P
44.575691,18.59042,14.474273,P
36.617377,22.197914,15.543708,P
69.358881,11.306848,9.504275,P
35.770033,15.31019,7.269958,N
28.237745,14.017516,10.671207,N
26.344159,20.405856,12.134417,N
44.42449,24.706306,8.769124,P
37.702111,21.815332,7.948505,N
34.522211,17.550902,13.942453,N
30.087291,24.255148,11.614764,N
36.84046,18.088481,7.547867,P
8.298575,19.093052,6.019185,P
54.833779,24.631784,8.85007,N
51.602999,16.270297,11.25498,N
20.494516,19.481059,14.845255,P
35.369382,15.321262,11.044151,N
41.135187,15.766446,6.889815,P
33.344598,9.735197,5.487614,N
38.34872,20.115872,6.357838,N
15.675535,17.464701,7.321212,P
38.776982,20.935976,7.308879,N
18.21662,14.331752,6.458648,N
15.358114,13.173816,8.850418,P
16.215195,19.380893,11.160728,P
43.953079,17.942959,9.938799,N
38.304936,13.330744,11.006584,N
41.261675,15.82084,6.188173,P
49.060523,24.312413,11.348139,N
45.344062,13.360376,5.195292,P
23.183892,4.557017,6.669782,P
32.249667,19.268983,6.940457,N
29.310326,24.268888,10.334747,N
36.099261,24.154498,8.522466,N
34.582052,24.845964,7.988592,N
31.210795,10.52223,9.085795,N
20.994177,13.4095,9.348687,N
22.210778,16.08816,8.987521,P
12.583828,18.01563,7.820505,P
28.936021,19.73811,5.330771,N
20.81289,14.61795,13.026739,N
29.757647,13.64753,9.817934,P
28.660315,17.93839,10.599387,P
21.921078,22.18827,8.398933,N
50.132516,22.2314,6.113176,N
28.474411,19.94129,6.819776,P
36.040008,16.99114,10.705824,P
20.866193,21.28182,8.035223,P
76.232505,15.6421,5.311985,N
18.580605,18.77649,9.997123,P
44.907433,18.42315,8.886062,N
46.784328,16.46988,5.681144,N
67.571894,17.55808,5.103298,P
8.704497,17.44154,6.202408,N
44.649829,15.6053,5.831302,N
39.719283,21.30711,3.514181,N
37.330994,15.06356,8.725045,P
17.866824,17.27154,8.484355,P
39.548062,17.68086,6.422131,N
53.882763,19.06468,7.153278,N
48.469359,21.15116,5.193397,P
25.766973,13.42207,7.76539,N
21.710604,18.51526,6.5534,P
24.023988,13.54615,7.137236,N
33.435221,22.9502,6.141633,N
40.651805,17.33598,7.536756,N
32.743294,15.74554,8.073536,N
32.043451,22.00321,8.13338,N
21.558333,16.71315,7.214614,P
16.000949,18.64275,7.425348,N
47.144489,19.62611,8.643948,N
19.598941,20.80357,9.238124,P
26.931341,13.48916,6.394956,P
26.303557,21.58301,16.612649,P
27.806433,18.67415,14.759659,N
26.724723,16.63084,10.89221,P
23.083084,16.53434,7.839444,P
15.659776,21.13992,11.336015,P
57.215942,19.44594,18.168903,P
31.207326,13.06569,13.17724,N
35.290038,18.6837,12.222727,P
37.647774,20.88393,13.08259,P
26.73864,22.48441,16.068017,P
44.03865,16.9239,6.441587,P
26.47049,20.30755,14.077052,P
14.95756,15.08539,8.628354,P
40.47998,18.19815,14.483848,P
26.249,17.24918,16.195776,N
21.63563,15.08279,18.707518,P
48.05998,24.5897,16.288108,P
39.6692,15.80799,16.528961,P
31.39014,15.92092,9.586967,N
18.27521,27.34873,18.561808,N
56.10197,25.24742,13.684678,P
30.10235,24.01198,15.647353,P
27.58703,15.89488,15.042252,P
34.99669,17.48383,14.375103,P
49.04764,22.65549,17.097493,N
26.04481,13.64981,11.628624,P
28.94017,5.08754,10.513789,P
27.31692,21.22818,12.043276,P
17.09089,21.72269,14.60494,N
48.89466,17.54515,13.181473,P
57.55454,22.93708,14.332367,P
32.1545,20.69193,15.137548,N
47.51883,20.7884,13.55225,P
66.65787,18.85815,8.831561,P
19.05106,24.58889,13.268216,P
47.04118,16.12172,12.663076,P
61.99243,24.4621,13.609738,P
86.34853,20.73533,12.925048,P
27.29062,16.04529,15.176352,P
50.84285,15.50417,15.476063,P
45.71808,19.69734,18.947167,P
48.34819,21.34822,15.416628,P
29.23575,20.21957,11.875615,P
43.44648,17.74901,11.017209,P
67.43259,23.7543,16.973288,N
40.95911,20.70222,12.657042,P
42.9134,25.17931,10.114287,P
61.86951,19.48501,14.57212,N
20.45784,18.06936,16.040935,N
40.38891,19.49315,13.478068,N
23.95267,15.09525,14.38896,P
25.35936,22.06534,13.687167,N
30.57606,19.80795,8.042242,N
37.05833,21.17084,9.659983,P
29.25999,21.56296,11.896937,P
26.23119,23.18444,16.589092,N
13.297243,20.78253,12.43741,P
22.337966,21.486735,11.688409,N
49.530853,17.136397,13.048287,N
36.300523,15.52495,12.242178,N
55.275693,12.937596,16.314958,P
49.455512,16.831451,13.345296,N
17.011812,17.210302,6.947309,N
22.056709,17.969874,12.631835,N
17.038423,24.457702,12.412916,P
44.921779,20.424878,6.527348,N
30.42713,23.110532,14.39674,N
37.450803,17.135013,13.591915,N
41.281172,8.621967,9.039859,P
27.761614,17.972974,9.729476,N
33.482779,15.670129,10.167232,N
41.166588,18.266383,12.551181,P
31.712202,20.723776,12.305515,P
38.059759,26.330296,11.280215,P
39.572529,18.33369,10.382107,P
52.992523,21.891797,11.862571,P
31.258026,19.883025,10.243847,N
40.205231,23.834766,14.476187,P
24.427702,22.454588,11.873602,N
44.535781,19.933738,9.269058,N
5.157271,26.285801,8.781973,N
45.489666,13.37087,9.201595,P
68.596109,22.060112,9.833374,P
21.734866,15.477264,12.002467,P
37.454074,15.736867,6.997171,P
48.270486,18.65199,9.377552,P
39.196615,23.16866,10.593797,P
44.3598,12.205302,10.141978,N
45.097208,19.530274,12.321717,P
86.15606,18.303634,7.499937,P
58.909863,21.255619,7.006562,N
50.588751,19.152026,14.060567,P
60.722673,20.239711,11.638991,P
48.699192,14.719281,11.464069,P
48.966961,19.403438,9.096143,P
46.376506,18.112076,9.090305,N
34.548407,18.10073,13.169938,P
25.860187,14.218694,10.130497,P
30.430737,22.638182,5.663128,N
26.042544,20.694224,8.868604,N
37.268946,18.540374,7.901016,N
34.252523,17.385999,8.555551,N
10.253819,22.721846,6.816753,P
20.99411,17.007057,8.010941,N
51.50421,15.605598,6.643831,N
23.29286,14.217774,4.934948,P
47.71692,20.429739,9.050897,N
67.51822,20.549761,11.681895,N
45.42082,6.125765,10.059463,N
49.22669,19.413213,15.438226,P
38.14652,20.968269,3.929433,P
14.67662,15.741526,3.624598,P
24.58886,17.257963,4.763597,N
51.07698,25.890407,8.246586,N
16.87198,20.340652,4.650337,N
22.35162,25.533541,8.374491,P
43.17396,20.935755,7.650895,P
49.37667,27.691001,7.417728,N
46.55165,13.875358,7.084541,P
75.68029,14.826716,6.748968,P
53.34956,15.350263,10.582884,P
55.68577,14.655886,9.599982,N
54.17727,11.271969,9.202201,P
45.05247,14.515676,9.863002,P
36.25057,6.786616,10.811434,P
43.2936,8.899102,10.662554,P
79.78133,6.345042,8.888329,P
43.3847,12.346613,10.055146,P
38.9539,8.732718,9.207038,P
38.1985,8.444266,7.608364,N
53.58814,6.039156,8.444729,P
49.89578,24.674631,12.631449,P
46.91539,11.378477,5.983241,P
57.65047,10.171183,9.313752,N
28.28778,19.070934,8.168677,P
68.15006,17.55513,16.56328,P
41.51641,10.432377,6.311687,P
35.05222,11.50035,11.324046,P
52.6591,21.526575,6.733218,P
48.51887,14.134222,7.701408,P
61.18175,23.678039,11.936849,P
66.88859,11.85311,9.378133,P
66.49071,13.768118,15.073683,P
56.72969,9.533373,8.608737,P
67.48396,23.256162,11.878423,P
87.30077,27.327671,8.787278,P
71.78506,6.887334,10.294906,P
51.79159,14.56799,11.234487,P
63.64527,19.252359,8.2347,P
37.4203,17.930142,9.450862,N
77.10145,14.647454,6.467892,P
27.13272,7.078137,11.054741,P
26.82964,17.891257,10.240115,P
38.21875,17.328794,10.56574,N
44.44302,11.716268,12.153175,P
55.45748,16.583666,3.822964,P
68.57693,14.643576,7.573378,P
70.77545,8.215533,13.014959,P
51.6645,6.62,9.982781,P
35.42258,22.714996,14.246619,N
41.81185,14.342547,3.926095,P
31.81587,5.570878,10.464805,N
21.03045,16.860356,7.744827,P
32.13934,12.457934,16.477936,N
57.38154,12.804321,14.313667,P
51.50473,16.574656,8.40091,N
42.42457,18.353914,13.576176,P
40.75584,14.128138,5.059825,N
26.79906,20.96015,10.348917,P
37.1045,6.228705,7.243863,P
28.58244,9.209814,5.58556,N
74.9754,22.368747,12.337377,P
25.02718,17.850375,8.595224,N
53.61311,15.379106,7.606829,P
40.05817,13.212524,11.352816,P
42.40518,13.207921,7.741245,P
42.71626,9.549119,11.545357,P
44.9762,9.489576,17.246691,P
22.78557,22.571975,11.98118,P
43.73017,12.011049,6.969785,P
39.7746,25.032323,8.126344,P
28.86642,19.513782,15.885134,P
44.3783,19.436617,10.349992,P
48.84622,15.997626,8.738965,P
37.77111,13.06962,8.502495,P
59.76931,11.817409,9.189564,P
81.24273,9.956637,9.906852,P
39.12111,18.795391,5.868923,P
34.25624,18.991364,12.711909,P
55.0355,21.676888,14.042663,N
31.80189,15.593863,10.879523,P
31.13889,12.537516,19.704967,P
75.03164,10.741635,8.18544,P
30.06054,20.066516,10.442096,P
33.27955,11.045435,9.689306,N
64.20569,12.161562,9.204829,P
41.31913,14.560575,10.641538,P
32.7857,10.37744,10.307301,N
31.18128,22.267697,6.582828,P
49.78253,16.069183,12.71127,P
58.38708,16.51151,7.821091,P
48.50531,19.365829,11.877841,N
59.17493,14.131185,10.243287,P
47.83331,20.313452,7.41991,P
49.13016,10.611498,12.358422,N
57.83596,16.314343,9.968451,P
53.38604,8.530212,8.174241,P
54.02257,9.569278,9.544593,N
52.4389,23.689634,9.873606,N
85.60081,16.035598,13.969582,P
52.02766,20.387154,13.257636,P
54.37317,24.896454,13.728958,P
48.55079,9.40014,9.254396,P
33.66517,14.061862,11.124491,P
61.69319,18.677479,9.242964,P
34.92234,18.951826,16.320063,P
35.3001,9.992233,11.190085,N
69.08822,13.728346,9.731159,P
12.30815,15.013753,12.930988,P
93.99088,17.748609,7.658539,P
43.84731,14.117052,11.936831,P
57.83679,9.985611,10.537891,P
38.23766,16.438464,10.395084,P
34.11756,12.142494,9.680467,P
33.14464,20.660905,7.8957,N
35.39177,16.140709,11.041448,N
39.99518,16.703584,8.1633,P
68.08147,19.04463,8.047868,N
46.1365,6.187768,10.065113,P
65.04837,13.974927,10.47145,P
51.5556,11.401461,6.831264,P
59.88922,17.886024,18.943859,P
58.77503,19.508409,10.812176,P
30.23897,25.419706,2.182963,P
64.77486,16.374177,7.301397,P
37.45922,10.38496,5.598704,P
43.51985,21.42088,7.031803,P
55.96206,16.219207,8.72461,P
24.6604,15.177828,8.172126,P
31.11619,16.33586,9.948593,P
51.23527,15.119345,9.142088,P
54.01389,23.02809,7.998225,P
46.00692,22.604297,6.029858,P
74.06681,19.778401,5.228373,N
57.16693,12.51609,7.117733,N
37.22166,11.14363,9.368991,P
52.94066,23.15644,9.315394,N
56.36546,26.19698,8.945167,N
