@relation bridges-version1

@attribute IDENTIF {E1,E10,E100,E101,E102,E103,E105,E107,E107N,E108,E109,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E8,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E9,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99}
@attribute RIVER {A,M,O,Y}
@attribute LOCATION {1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,38.5,39,39.5,39.7,4,40,41,42,43,44,45,46,47,48,49,5,51,52,6,7,8,9}
@attribute ERECTED numeric
@attribute PURPOSE {WALK,AQUEDUCT,RR,HIGHWAY}
@attribute LENGTH numeric
@attribute LANES numeric
@attribute CLEAR-G {N,G}
@attribute T-OR-D {THROUGH,DECK}
@attribute MATERIAL {WOOD,IRON,STEEL}
@attribute SPAN {SHORT,MEDIUM,LONG}
@attribute REL-L {S,S-F,F}
@attribute binaryClass {P,N}

@data
E80,M,19,1951,HIGHWAY,1031,4,G,THROUGH,STEEL,LONG,F,N
E88,A,37,1955,HIGHWAY,2300,4,N,DECK,STEEL,LONG,F,N
E82,O,42,1955,HIGHWAY,804,?,G,THROUGH,STEEL,?,F,P
E102,O,47,1959,HIGHWAY,1700,2,G,THROUGH,STEEL,LONG,F,N
E83,M,1,1959,HIGHWAY,1000,6,G,THROUGH,STEEL,LONG,F,N
E86,A,33,1961,HIGHWAY,980,4,G,DECK,STEEL,MEDIUM,S-F,N
E85,M,9,1962,HIGHWAY,2213,4,G,DECK,STEEL,LONG,F,N
E84,A,24,1969,HIGHWAY,870,6,G,THROUGH,STEEL,MEDIUM,F,N
E91,O,44,1975,HIGHWAY,3756,6,G,THROUGH,STEEL,LONG,F,N
E90,M,7,1978,HIGHWAY,950,6,G,THROUGH,STEEL,LONG,F,N
E100,O,43,1982,HIGHWAY,?,?,G,?,?,?,F,N
E109,A,28,1986,HIGHWAY,?,?,G,?,?,?,F,N
