@relation cars

@attribute name {amc_ambassador_brougham,amc_ambassador_dpl,amc_ambassador_sst,amc_concord,amc_concord_d/l,amc_concord_dl,amc_concord_dl_6,amc_gremlin,amc_hornet,amc_hornet_sportabout_(sw),amc_matador,amc_matador_(sw),amc_pacer,amc_pacer_d/l,amc_rebel_sst,amc_rebel_sst_(sw),amc_spirit_dl,audi_100_ls,audi_100ls,audi_4000,audi_5000,audi_5000s_(diesel),audi_fox,bmw_2002,bmw_320i,buick_century,buick_century_350,buick_century_limited,buick_century_luxus_(sw),buick_century_special,buick_electra_225_custom,buick_estate_wagon_(sw),buick_lesabre_custom,buick_opel_isuzu_deluxe,buick_regal_sport_coupe_(turbo),buick_skyhawk,buick_skylark,buick_skylark_320,buick_skylark_limited,cadillac_eldorado,cadillac_seville,capri_ii,chevroelt_chevelle_malibu,chevrolet_bel_air,chevrolet_camaro,chevrolet_caprice_classic,chevrolet_cavalier,chevrolet_cavalier_2-door,chevrolet_cavalier_wagon,chevrolet_chevelle_concours_(sw),chevrolet_chevelle_malibu,chevrolet_chevelle_malibu_classic,chevrolet_chevette,chevrolet_citation,chevrolet_concours,chevrolet_impala,chevrolet_malibu,chevrolet_malibu_classic_(sw),chevrolet_monte_carlo,chevrolet_monte_carlo_landau,chevrolet_monte_carlo_s,chevrolet_monza_2+2,chevrolet_nova,chevrolet_nova_custom,chevrolet_vega,chevrolet_vega_(sw),chevrolet_vega_2300,chevrolet_woody,chevy_c10,chevy_c20,chevy_s-10,chrysler_cordoba,chrysler_lebaron_medallion,chrysler_lebaron_salon,chrysler_lebaron_town_@_country_(sw),chrysler_new_yorker_brougham,chrysler_newport_royal,citroen_ds-21_pallas,datsun_1200,datsun_200-sx,datsun_200sx,datsun_210,datsun_210_mpg,datsun_280-zx,datsun_310,datsun_310_gx,datsun_510,datsun_510_(sw),datsun_510_hatchback,datsun_610,datsun_710,datsun_810,datsun_810_maxima,datsun_b-210,datsun_b210,datsun_b210_gx,datsun_f-10_hatchback,datsun_pl510,dodge_aries_se,dodge_aries_wagon_(sw),dodge_aspen,dodge_aspen_6,dodge_aspen_se,dodge_challenger_se,dodge_charger_2.2,dodge_colt,dodge_colt_(sw),dodge_colt_hardtop,dodge_colt_hatchback_custom,dodge_colt_m/m,dodge_coronet_brougham,dodge_coronet_custom,dodge_coronet_custom_(sw),dodge_d100,dodge_d200,dodge_dart_custom,dodge_diplomat,dodge_magnum_xe,dodge_monaco_(sw),dodge_monaco_brougham,dodge_omni,dodge_rampage,dodge_st._regis,fiat_124_sport_coupe,fiat_124_tc,fiat_124b,fiat_128,fiat_131,fiat_strada_custom,fiat_x1.9,ford_country,ford_country_squire_(sw),ford_escort_2h,ford_escort_4w,ford_f108,ford_f250,ford_fairmont,ford_fairmont_(auto),ford_fairmont_(man),ford_fairmont_4,ford_fairmont_futura,ford_fiesta,ford_futura,ford_galaxie_500,ford_gran_torino,ford_gran_torino_(sw),ford_granada,ford_granada_ghia,ford_granada_gl,ford_granada_l,ford_ltd,ford_ltd_landau,ford_maverick,ford_mustang,ford_mustang_boss_302,ford_mustang_cobra,ford_mustang_gl,ford_mustang_ii,ford_mustang_ii_2+2,ford_pinto,ford_pinto_(sw),ford_pinto_runabout,ford_ranger,ford_thunderbird,ford_torino,ford_torino_(sw),ford_torino_500,hi_1200d,honda_accord,honda_accord_cvcc,honda_accord_lx,honda_civic,honda_civic_(auto),honda_civic_1300,honda_civic_1500_gl,honda_civic_cvcc,honda_prelude,maxda_glc_deluxe,maxda_rx3,mazda_626,mazda_glc,mazda_glc_4,mazda_glc_custom,mazda_glc_custom_l,mazda_glc_deluxe,mazda_rx-4,mazda_rx-7_gs,mazda_rx2_coupe,mercedes-benz_240d,mercedes-benz_280s,mercedes_benz_300d,mercury_capri_2000,mercury_capri_v6,mercury_cougar_brougham,mercury_grand_marquis,mercury_lynx_l,mercury_marquis,mercury_marquis_brougham,mercury_monarch,mercury_monarch_ghia,mercury_zephyr,mercury_zephyr_6,nissan_stanza_xe,oldsmobile_cutlass_ciera_(diesel),oldsmobile_cutlass_ls,oldsmobile_cutlass_salon_brougham,oldsmobile_cutlass_supreme,oldsmobile_delta_88_royale,oldsmobile_omega,oldsmobile_omega_brougham,oldsmobile_starfire_sx,oldsmobile_vista_cruiser,opel_1900,opel_manta,peugeot_304,peugeot_504,peugeot_504_(sw),peugeot_505s_turbo_diesel,peugeot_604sl,plymouth_arrow_gs,plymouth_champ,plymouth_cricket,plymouth_cuda_340,plymouth_custom_suburb,plymouth_duster,plymouth_fury,plymouth_fury_gran_sedan,plymouth_fury_iii,plymouth_grand_fury,plymouth_horizon,plymouth_horizon_4,plymouth_horizon_miser,plymouth_horizon_tc3,plymouth_reliant,plymouth_sapporo,plymouth_satellite,plymouth_satellite_(sw),plymouth_satellite_custom,plymouth_satellite_custom_(sw),plymouth_satellite_sebring,plymouth_valiant,plymouth_valiant_custom,plymouth_volare,plymouth_volare_custom,plymouth_volare_premier_v8,pontiac_astro,pontiac_catalina,pontiac_catalina_brougham,pontiac_firebird,pontiac_grand_prix,pontiac_grand_prix_lj,pontiac_j2000_se_hatchback,pontiac_lemans_v6,pontiac_phoenix,pontiac_phoenix_lj,pontiac_safari_(sw),pontiac_sunbird_coupe,pontiac_ventura_sj,renault_12_(sw),renault_12tl,renault_18i,renault_5_gtl,renault_lecar_deluxe,saab_900s,saab_99e,saab_99gle,saab_99le,subaru,subaru_dl,toyota_carina,toyota_celica_gt,toyota_celica_gt_liftback,toyota_corolla,toyota_corolla_1200,toyota_corolla_1600_(sw),toyota_corolla_liftback,toyota_corolla_tercel,toyota_corona,toyota_corona_hardtop,toyota_corona_liftback,toyota_corona_mark_ii,toyota_cressida,toyota_mark_ii,toyota_starlet,toyota_tercel,toyouta_corona_mark_ii_(sw),triumph_tr7_coupe,vokswagen_rabbit,volkswagen_1131_deluxe_sedan,volkswagen_411_(sw),volkswagen_dasher,volkswagen_jetta,volkswagen_model_111,volkswagen_rabbit,volkswagen_rabbit_custom,volkswagen_rabbit_custom_diesel,volkswagen_rabbit_l,volkswagen_scirocco,volkswagen_super_beetle,volkswagen_super_beetle_117,volkswagen_type_3,volvo_144ea,volvo_145e_(sw),volvo_244dl,volvo_245,volvo_264gl,volvo_diesel,vw_dasher_(diesel),vw_pickup,vw_rabbit,vw_rabbit_c_(diesel),vw_rabbit_custom}
@attribute mpg numeric
@attribute cylinders {3,4,5,6,8}
@attribute displacement numeric
@attribute horsepower numeric
@attribute weight numeric
@attribute acceleration numeric
@attribute model.year numeric
@attribute binaryClass {P,N}

@data
datsun_610,22,4,108,94,2379,16.5,73,N
maxda_rx3,18,3,70,90,2124,13.5,73,N
ford_pinto,19,4,122,85,2310,18.5,73,P
mercury_capri_v6,21,6,155,107,2472,14,73,P
fiat_124_sport_coupe,26,4,98,90,2265,15.5,73,N
chevrolet_monte_carlo_s,15,8,350,145,4082,13,73,P
pontiac_grand_prix,16,8,400,230,4278,9.5,73,P
fiat_128,29,4,68,49,1867,19.5,73,N
opel_manta,24,4,116,75,2158,15.5,73,N
audi_100ls,20,4,114,91,2582,14,73,N
volvo_144ea,19,4,121,112,2868,15.5,73,N
dodge_dart_custom,15,8,318,150,3399,11,73,P
saab_99le,24,4,121,110,2660,14,73,N
toyota_mark_ii,20,6,156,122,2807,13.5,73,N
oldsmobile_omega,11,8,350,180,3664,11,73,P
plymouth_duster,20,6,198,95,3102,16.5,74,P
ford_maverick,21,6,200,?,2875,17,74,P
amc_hornet,19,6,232,100,2901,16,74,P
chevrolet_nova,15,6,250,100,3336,17,74,P
datsun_b210,31,4,79,67,1950,19,74,N
ford_pinto,26,4,122,80,2451,16.5,74,P
toyota_corolla_1200,32,4,71,65,1836,21,74,N
chevrolet_vega,25,4,140,75,2542,17,74,P
chevrolet_chevelle_malibu_classic,16,6,250,100,3781,17,74,P
amc_matador,16,6,258,110,3632,18,74,P
plymouth_satellite_sebring,18,6,225,105,3613,16.5,74,P
ford_gran_torino,16,8,302,140,4141,14,74,P
buick_century_luxus_(sw),13,8,350,150,4699,14.5,74,P
dodge_coronet_custom_(sw),14,8,318,150,4457,13.5,74,P
ford_gran_torino_(sw),14,8,302,140,4638,16,74,P
amc_matador_(sw),14,8,304,150,4257,15.5,74,P
audi_fox,29,4,98,83,2219,16.5,74,N
volkswagen_dasher,26,4,79,67,1963,15.5,74,N
opel_manta,26,4,97,78,2300,14.5,74,N
toyota_corona,31,4,76,52,1649,16.5,74,N
datsun_710,32,4,83,61,2003,19,74,N
dodge_colt,28,4,90,75,2125,14.5,74,P
fiat_128,24,4,90,75,2108,15.5,74,N
fiat_124_tc,26,4,116,75,2246,14,74,N
honda_civic,24,4,120,97,2489,15,74,N
subaru,26,4,108,93,2391,15.5,74,N
fiat_x1.9,31,4,79,67,2000,16,74,N
plymouth_valiant_custom,19,6,225,95,3264,16,75,P
chevrolet_nova,18,6,250,105,3459,16,75,P
mercury_monarch,15,6,250,72,3432,21,75,P
ford_maverick,15,6,250,72,3158,19.5,75,P
pontiac_catalina,16,8,400,170,4668,11.5,75,P
chevrolet_bel_air,15,8,350,145,4440,14,75,P
plymouth_grand_fury,16,8,318,150,4498,14.5,75,P
ford_ltd,14,8,351,148,4657,13.5,75,P
buick_century,17,6,231,110,3907,21,75,P
chevroelt_chevelle_malibu,16,6,250,105,3897,18.5,75,P
amc_matador,15,6,258,110,3730,19,75,P
plymouth_fury,18,6,225,95,3785,19,75,P
buick_skyhawk,21,6,231,110,3039,15,75,P
chevrolet_monza_2+2,20,8,262,110,3221,13.5,75,P
ford_mustang_ii,13,8,302,129,3169,12,75,P
toyota_corolla,29,4,97,75,2171,16,75,N
ford_pinto,23,4,140,83,2639,17,75,P
amc_gremlin,20,6,232,100,2914,16,75,P
pontiac_astro,23,4,140,78,2592,18.5,75,P
toyota_corona,24,4,134,96,2702,13.5,75,N
volkswagen_dasher,25,4,90,71,2223,16.5,75,N
datsun_710,24,4,119,97,2545,17,75,N
ford_pinto,18,6,171,97,2984,14.5,75,P
volkswagen_rabbit,29,4,90,70,1937,14,75,N
amc_pacer,19,6,232,90,3211,17,75,P
audi_100ls,23,4,115,95,2694,15,75,N
peugeot_504,23,4,120,88,2957,17,75,N
volvo_244dl,22,4,121,98,2945,14.5,75,N
saab_99le,25,4,121,115,2671,13.5,75,N
honda_civic_cvcc,33,4,91,53,1795,17.5,75,N
fiat_131,28,4,107,86,2464,15.5,76,N
opel_1900,25,4,116,81,2220,16.9,76,N
capri_ii,25,4,140,92,2572,14.9,76,P
dodge_colt,26,4,98,79,2255,17.7,76,P
renault_12tl,27,4,101,83,2202,15.3,76,N
chevrolet_chevelle_malibu_classic,17.5,8,305,140,4215,13,76,P
dodge_coronet_brougham,16,8,318,150,4190,13,76,P
amc_matador,15.5,8,304,120,3962,13.9,76,P
ford_gran_torino,14.5,8,351,152,4215,12.8,76,P
plymouth_valiant,22,6,225,100,3233,15.4,76,P
chevrolet_nova,22,6,250,105,3353,14.5,76,P
ford_maverick,24,6,200,81,3012,17.6,76,P
amc_hornet,22.5,6,232,90,3085,17.6,76,P
chevrolet_chevette,29,4,85,52,2035,22.2,76,P
chevrolet_woody,24.5,4,98,60,2164,22.1,76,P
vw_rabbit,29,4,90,70,1937,14.2,76,N
honda_civic,33,4,91,53,1795,17.4,76,N
dodge_aspen_se,20,6,225,100,3651,17.7,76,P
ford_granada_ghia,18,6,250,78,3574,21,76,P
pontiac_ventura_sj,18.5,6,250,110,3645,16.2,76,P
amc_pacer_d/l,17.5,6,258,95,3193,17.8,76,P
volkswagen_rabbit,29.5,4,97,71,1825,12.2,76,N
datsun_b-210,32,4,85,70,1990,17,76,N
toyota_corolla,28,4,97,75,2155,16.4,76,N
ford_pinto,26.5,4,140,72,2565,13.6,76,P
volvo_245,20,4,130,102,3150,15.7,76,N
plymouth_volare_premier_v8,13,8,318,150,3940,13.2,76,P
peugeot_504,19,4,120,88,3270,21.9,76,N
toyota_mark_ii,19,6,156,108,2930,15.5,76,N
mercedes-benz_280s,16.5,6,168,120,3820,16.7,76,N
cadillac_seville,16.5,8,350,180,4380,12.1,76,P
chevy_c10,13,8,350,145,4055,12,76,P
ford_f108,13,8,302,130,3870,15,76,P
dodge_d100,13,8,318,150,3755,14,76,P
honda_accord_cvcc,31.5,4,98,68,2045,18.5,77,N
buick_opel_isuzu_deluxe,30,4,111,80,2155,14.8,77,P
renault_5_gtl,36,4,79,58,1825,18.6,77,N
plymouth_arrow_gs,25.5,4,122,96,2300,15.5,77,P
datsun_f-10_hatchback,33.5,4,85,70,1945,16.8,77,N
chevrolet_caprice_classic,17.5,8,305,145,3880,12.5,77,P
oldsmobile_cutlass_supreme,17,8,260,110,4060,19,77,P
dodge_monaco_brougham,15.5,8,318,145,4140,13.7,77,P
mercury_cougar_brougham,15,8,302,130,4295,14.9,77,P
chevrolet_concours,17.5,6,250,110,3520,16.4,77,P
buick_skylark,20.5,6,231,105,3425,16.9,77,P
plymouth_volare_custom,19,6,225,100,3630,17.7,77,P
ford_granada,18.5,6,250,98,3525,19,77,P
pontiac_grand_prix_lj,16,8,400,180,4220,11.1,77,P
chevrolet_monte_carlo_landau,15.5,8,350,170,4165,11.4,77,P
chrysler_cordoba,15.5,8,400,190,4325,12.2,77,P
ford_thunderbird,16,8,351,149,4335,14.5,77,P
volkswagen_rabbit_custom,29,4,97,78,1940,14.5,77,N
pontiac_sunbird_coupe,24.5,4,151,88,2740,16,77,P
toyota_corolla_liftback,26,4,97,75,2265,18.2,77,N
ford_mustang_ii_2+2,25.5,4,140,89,2755,15.8,77,P
chevrolet_chevette,30.5,4,98,63,2051,17,77,P
dodge_colt_m/m,33.5,4,98,83,2075,15.9,77,P
subaru_dl,30,4,97,67,1985,16.4,77,N
volkswagen_dasher,30.5,4,97,78,2190,14.1,77,N
datsun_810,22,6,146,97,2815,14.5,77,N
bmw_320i,21.5,4,121,110,2600,12.8,77,N
mazda_rx-4,21.5,3,80,110,2720,13.5,77,N
volkswagen_rabbit_custom_diesel,43.1,4,90,48,1985,21.5,78,N
ford_fiesta,36.1,4,98,66,1800,14.4,78,P
mazda_glc_deluxe,32.8,4,78,52,1985,19.4,78,N
datsun_b210_gx,39.4,4,85,70,2070,18.6,78,N
honda_civic_cvcc,36.1,4,91,60,1800,16.4,78,N
oldsmobile_cutlass_salon_brougham,19.9,8,260,110,3365,15.5,78,P
dodge_diplomat,19.4,8,318,140,3735,13.2,78,P
mercury_monarch_ghia,20.2,8,302,139,3570,12.8,78,P
