@relation analcatdata-birthday

@attribute Month {1/1/00,10/1/00,11/1/00,12/1/00,2/1/00,3/1/00,4/1/00,5/1/00,6/1/00,7/1/00,8/1/00}
@attribute Day {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@attribute Births numeric
@attribute binaryClass {P,N}

@data
5/1/00,17,8913,N
5/1/00,18,9044,N
5/1/00,19,9000,N
5/1/00,20,8064,N
5/1/00,21,7570,P
5/1/00,22,9089,N
5/1/00,23,9210,N
5/1/00,24,9196,N
5/1/00,25,9180,N
5/1/00,26,9514,N
5/1/00,27,8005,N
5/1/00,28,7781,P
5/1/00,29,7780,N
5/1/00,30,9630,N
5/1/00,31,9600,N
6/1/00,1,9435,N
6/1/00,2,9303,N
6/1/00,3,7971,N
6/1/00,4,7399,P
6/1/00,5,9127,N
6/1/00,6,9606,N
6/1/00,7,9328,N
6/1/00,8,9075,N
6/1/00,9,9362,N
6/1/00,10,8040,N
6/1/00,11,7581,P
6/1/00,12,9201,N
6/1/00,13,9264,N
6/1/00,14,9216,N
6/1/00,15,9175,N
6/1/00,16,9350,N
6/1/00,17,8233,N
6/1/00,18,7777,P
6/1/00,19,9543,N
6/1/00,20,9672,N
6/1/00,21,9266,N
6/1/00,22,9405,N
6/1/00,23,9598,N
6/1/00,24,8122,N
6/1/00,25,8091,P
6/1/00,26,9348,N
6/1/00,27,9857,N
6/1/00,28,9701,N
6/1/00,29,9630,N
6/1/00,30,10080,N
7/1/00,1,8209,N
7/1/00,2,7976,P
7/1/00,3,9284,N
7/1/00,4,8433,N
7/1/00,5,9675,N
7/1/00,6,10184,N
7/1/00,7,10241,N
7/1/00,8,8773,N
7/1/00,9,8102,P
7/1/00,10,9877,N
7/1/00,11,9852,N
7/1/00,12,9705,N
7/1/00,13,9984,N
7/1/00,14,10438,N
7/1/00,15,8859,N
7/1/00,16,8416,P
7/1/00,17,10026,N
7/1/00,18,10357,N
7/1/00,19,10015,N
7/1/00,20,10386,N
7/1/00,21,10332,N
7/1/00,22,9062,N
7/1/00,23,8563,P
7/1/00,24,9960,N
7/1/00,25,10349,N
7/1/00,26,10091,N
7/1/00,27,10192,N
7/1/00,28,10307,N
7/1/00,29,8677,N
7/1/00,30,8486,P
7/1/00,31,9890,N
8/1/00,1,10145,N
8/1/00,2,9824,N
8/1/00,3,10128,N
8/1/00,4,10051,N
8/1/00,5,8738,N
8/1/00,6,8442,P
8/1/00,7,10206,N
8/1/00,8,10442,N
8/1/00,9,10142,N
8/1/00,10,10284,N
8/1/00,11,10162,N
8/1/00,12,8951,N
8/1/00,13,8532,P
8/1/00,14,10127,N
8/1/00,15,10502,N
8/1/00,16,10053,N
8/1/00,17,10377,N
8/1/00,18,10355,N
8/1/00,19,8904,N
8/1/00,20,8477,P
8/1/00,21,9967,N
8/1/00,22,10229,N
8/1/00,23,9900,N
8/1/00,24,10152,N
8/1/00,25,10173,N
8/1/00,26,8782,N
8/1/00,27,8453,P
8/1/00,28,9998,N
8/1/00,29,10387,N
8/1/00,30,10063,N
8/1/00,31,9849,N
?,1,10114,N
?,2,8580,N
?,3,8355,P
?,4,8481,N
?,5,10023,N
?,6,10703,N
?,7,10292,N
?,8,10371,N
?,9,9023,N
?,10,8630,P
?,11,10154,N
?,12,10425,N
?,13,10149,N
?,14,10265,N
?,15,10265,N
?,16,9170,N
?,17,8711,P
?,18,10304,N
?,19,10711,N
?,20,10488,N
?,21,10499,N
?,22,10349,N
?,23,8735,N
?,24,8647,P
?,25,10414,N
?,26,10498,N
?,27,10344,N
?,28,10175,N
?,29,10368,N
?,30,8648,N
10/1/00,1,8686,P
10/1/00,2,9927,N
10/1/00,3,10378,N
10/1/00,4,9928,N
10/1/00,5,9949,N
10/1/00,6,10052,N
10/1/00,7,8605,N
10/1/00,8,8377,P
10/1/00,9,9765,N
10/1/00,10,10351,N
10/1/00,11,9873,N
10/1/00,12,9824,N
10/1/00,13,9755,N
10/1/00,14,8554,N
10/1/00,15,7873,P
10/1/00,16,9531,N
10/1/00,17,9938,N
10/1/00,18,9388,N
10/1/00,19,9502,N
10/1/00,20,9625,N
10/1/00,21,8411,N
10/1/00,22,7936,P
10/1/00,23,9425,N
10/1/00,24,9576,N
10/1/00,25,9328,N
10/1/00,26,9501,N
10/1/00,27,9537,N
10/1/00,28,8415,N
10/1/00,29,8155,P
10/1/00,30,9457,N
10/1/00,31,9333,N
11/1/00,1,9321,N
11/1/00,2,9245,N
11/1/00,3,9774,N
11/1/00,4,8246,N
11/1/00,5,8011,P
11/1/00,6,9507,N
11/1/00,7,9769,N
11/1/00,8,9501,N
11/1/00,9,9609,N
11/1/00,10,9652,N
11/1/00,11,8352,N
11/1/00,12,7967,P
11/1/00,13,9606,N
11/1/00,14,10014,N
11/1/00,15,9536,N
11/1/00,16,9568,N
11/1/00,17,9835,N
11/1/00,18,8432,N
11/1/00,19,7868,P
11/1/00,20,9592,N
11/1/00,21,9950,N
11/1/00,22,9548,N
11/1/00,23,7915,N
11/1/00,24,9037,N
11/1/00,25,8275,N
11/1/00,26,8068,P
11/1/00,27,9825,N
11/1/00,28,9814,N
11/1/00,29,9438,N
11/1/00,30,9396,N
12/1/00,1,9592,N
12/1/00,2,8528,N
12/1/00,3,8196,P
12/1/00,4,9767,N
12/1/00,5,9881,N
12/1/00,6,9402,N
12/1/00,7,9480,N
12/1/00,8,9398,N
12/1/00,9,8335,N
12/1/00,10,8093,P
12/1/00,11,9686,N
12/1/00,12,10063,N
12/1/00,13,9509,N
12/1/00,14,9524,N
12/1/00,15,9951,N
12/1/00,16,8507,N
12/1/00,17,8172,P
12/1/00,18,10196,N
12/1/00,19,10605,N
12/1/00,20,9998,N
12/1/00,21,9398,N
12/1/00,22,9008,N
12/1/00,23,7939,N
12/1/00,24,7964,P
12/1/00,25,7846,N
12/1/00,26,8902,N
12/1/00,27,9907,N
12/1/00,28,10177,N
12/1/00,29,10401,N
12/1/00,30,8474,N
12/1/00,31,8028,P
