@relation analcatdata-reviewer

@attribute Film {101_DALMATIONS,12_MONKEYS,2_DAYS_IN_THE_VALLEY,ABSOLUTE_POWER,ACE_VENTURA:WHEN_NATURE_CALLS,ALASKA,ALBINO_ALLIGATOR,AMERICAN_BUFFALO,ANGELS_&_INSECTS,ANGEL_BABY,ANGUS,ANNE_FRANK_REMEMBERED,ASSASSINS,AUGUST,A_FAMILY_THING,A_GOOFY_MOVIE,A_MIDWINTERS_TALE,A_MONTH_BY_THE_LAKE,A_REASON_TO_BELIEVE,A_THIN_LINE_BETWEEN_LOVE&HATE,A_TIME_TO_KILL,A_VERY_BRADY_SEQUEL,BAD_BOYS,BALTO,BARB_WIRE,BASQUIAT,BEAUTIFUL_GIRLS,BEAUTIFUL_THING,BEAVIS&BUTTHEAD_DO_AMERICA,BED_OF_ROSES,BEFORE_AND_AFTER,BIG_NIGHT,BLACK_SHEEP,BLOOD_AND_WINE,BLUE_IN_THE_FACE,BOGUS,BOOTY_CALL,BOTTLE_ROCKET,BOUND,BOYS,BOYS_LIFE_2,BREAKING_THE_WAVES,BREATHING_ROOM,BROKEN_ARROW,BULLETPROOF,BURNT_BY_THE_SUN,BUTTERFLY_KISS,CANADIAN_BACON,CARRIED_AWAY,CARRINGTON,CASINO,CAUGHT,CELESTIAL_CLOCKWORK,CELTIC_PRIDE,CHAIN_REACTION,CITIZEN_RUTH,CITY_HALL,CITY_OF_INDUSTRY,CITY_OF_LOST_CHILDREN,CLOCKERS,COLD_COMFORT_FARM,COPYCAT,COURAGE_UNDER_FIRE,CRASH,CRY_THE_BELOVED_COUNTRY,CUTTHROAT_ISLAND,DANGEROUS_GROUND,DANTES_PEAK,DAYLIGHT,DEAD_MAN,DEAD_MAN_WALKING,DEAD_PRESIDENTS,DEAR_GOD,DEVIL_IN_A_BLUE_DRESS,DIABOLIQUE,DONNIE_BRASCO,DON_JUAN_DEMARCO,DOWN_PERISCOPE,DRACULA:DEAD_AND_LOVING_IT,DRAGONHEART,DRUNKS,DUNSTON_CHECKS_IN,ED,EDDIE,EDS_NEXT_MOVE,EMMA,ERASER,ESCAPE_FROM_L.A.,EVERYONE_SAYS_I_LOVE_YOU,EVITA,EXECUTIVE_DECISION,EXTREME_MEASURES,EYE_FOR_AN_EYE,FAIR_GAME,FAITHFUL,FARGO,FATHER_OF_THE_BRIDE_PART_2,FEAR,FEAST_OF_JULY,FEELING_MINNESOTA,FIERCE_CREATURES,FLED,FLIPPER,FLIPPING,FLIRTING_WITH_DISASTER,FLY_AWAY_HOME,FOLLOW_ME_HOME,FOOLS_RUSH_IN,FOXFIRE,FRANKIE_STARLIGHT,FRENCH_TWIST,FROM_DUSK_TIL_DAWN,FROM_THE_JOURNALS_OF_JEAN_S,GENTLEMEN_DONT_EAT_BLONDS,GEORGIA,GETTING_AWAY_WITH_MURDER,GET_ON_THE_BUS,GET_SHORTY,GHOSTS_OF_MISSISSIPPI,GHOST_IN_THE_SHELL,GIRLS_TOWN,GIRL_6,GOLDENEYE,GOLD_DIGGERS,GRACE_OF_MY_HEART,GRAYS_ANATOMY,GRUMPIER_OLD_MEN,HACKERS,HAMLET,HAPPY_GILMORE,HARD_EIGHT,HARRIET_THE_SPY,HATE,HEAT,HEAVENS_PRISONERS,HEAVY,HIGH_SCHOOL_HIGH,HOMAGE,HOMEWARD_BOUND_2,HOME_FOR_THE_HOLIDAYS,HORSEMAN_ON_THE_ROOF,HOTEL_DE_LOVE,HOUSE_ARREST,HOW_TO_MAKE_AN_AMERICAN_QUILT,HUNCHBACK_OF_NOTRE_DAME,IF_LUCY_FELL,IM_NOT_RAPPAPORT,INDEPENDENCE_DAY,INFINITY,IN_LOVE_AND_WAR,ITS_MY_PARTY,IT_TAKES_TWO,I_SHOT_ANDY_WARHOL,JACK,JACK_&_SARAH,JADE,JAMES_&_THE_GIANT_PEACH,JANE_EYRE,JERRY_MAGUIRE,JINGLE_ALL_THE_WAY,JOURNEY_OF_AUGUST_KING,JUDE,JUMANJI,JUNGLE_2_JUNGLE,JURY_DUTY,KAMA_SUTRA:_A_TALE_OF_LOVE,KANSAS_CITY,KAZAAM,KICKING_AND_SCREAMING,KIDS_IN_THE_HALL:BRAIN_CANDY,KINGPIN,KISS_OF_DEATH,LAND_AND_FREEDOM,LARGER_THAN_LIFE,LAST_DANCE,LAST_MAN_STANDING,LA_CEREMONIE,LEAVING_LAS_VEGAS,LES_MISERABLES,LIAR_LIAR,LITTLE_INDIAN_BIG_CITY,LOADED,LONE_STAR,LOOKING_FOR_RICHARD,LOSING_CHASE,LOST_HIGHWAY,LOVE_JONES,MAD_DOG_TIME,MAGIC_HUNTER,MALLRATS,MANDELA:_SON_OF_AFRICA...,MANNY_&_LO,MARGARETS_MUSEUM,MARS_ATTACKS!,MARVINS_ROOM,MARY_REILLY,MATILDA,MAYBE...MAYBE_NOT,MA_SAISON_PREFEREE,METRO,MICHAEL,MICHAEL_COLLINS,MIGHTY_APHRODITE,MISSION_IMPOSSIBLE,MOLL_FLANDERS,MONEY_TRAIN,MOONLIGHT_&_VALENTINO,MOTHER,MOTHER_NIGHT,MR._HOLLANDS_OPUS,MR._WRONG,MRS._WINTERBOURNE,MULHOLLAND_FALLS,MULTIPLICITY,MUPPET_TREASURE_ISLAND,MUTE_WITNESS,MYSTERY_SCIENCE_THEATER_3000,MY_FELLOW_AMERICANS,NEW_JERSEY_DRIVE,NICK_OF_TIME,NICO-ICON,NIXON,NOW_AND_THEN,ONCE_UPON_A_TIME_...,ONE_FINE_DAY,OPEN_SEASON,OTHELLO,PALOOKAVILLE,PERSUASION,PHENOMENON,POWDER,PREFONTAINE,PRIMAL_FEAR,PRISONER_OF_THE_MOUNTAINS,PRIVATE_PARTS,RACE_THE_SUN,RANSOM,RECKLESS,RED_FIRECRACKER_GREEN_FIREC,RESTORATION,RETURN_OF_THE_JEDI,RHYME_&_REASON,RICHARD_III,RIDICULE,ROB_ROY,ROMEO_AND_JULIET,ROSEWOOD,RUMBLE_IN_THE_BRONX,SABRINA,SCREAM,SCREAMERS,SECRETS_&_LIES,SELENA,SENSE_AND_SENSIBILITY,SET_IT_OFF,SEVEN,SGT._BILKO,SHANGHAI_TRIAD,SHES_THE_ONE,SHINE,SHOWGIRLS,SLEEPERS,SLING_BLADE,SMILLAS_SENSE_OF_SNOW,SOMEONE_ELSES_AMERICA,SOME_MOTHERS_SON,SPACE_JAM,SPY_HARD,STAR_TREK:FIRST_CONTACT,STEALING_BEAUTY,STEAL_BIG_STEAL_LITTLE,STONEWALL,STRANGE_DAYS,STRIPTEASE,STUART_SAVES_HIS_FAMILY,SUBURBIA,SUDDEN_DEATH,SUNSET_PARK,SURVIVING_PICASSO,SWEET_NOTHING,SWINGERS,THAT_DARN_CAT,THAT_THING_YOU_DO!,THE_ADDICTION,THE_ADVENTURES_OF_PINOCCHIO,THE_AMERICAN_PRESIDENT,THE_ARRIVAL,THE_ASSOCIATE,THE_BASKETBALL_DIARIES,THE_BEAUTICIAN_AND_THE_BEAST,THE_BIG_SQUEEZE,THE_BIRDCAGE,THE_CABLE_GUY,THE_CELLULOID_CLOSET,THE_CHAMBER,THE_CRAFT,THE_CROSSING_GUARD,THE_CRUCIBLE,THE_CURE,THE_DAYTRIPPERS,THE_DOOM_GENERATION,THE_EIGHTH_DAY,THE_EMPIRE_STRIKES_BACK,THE_ENGLISH_PATIENT,THE_EVENING_STAR,THE_FAN,THE_FIRST_WIVES_CLUB,THE_FLOWER_OF_MY_SECRET,THE_FRIGHTENERS,THE_FUNERAL,THE_GHOST_AND_THE_DARKNESS,THE_GODFATHER,THE_GRASS_HARP,THE_GREAT_WHITE_HYPE,THE_ISLAND_OF_DR._MOREAU,THE_JUROR,THE_LAST_GOOD_TIME,THE_LAST_SUPPER,THE_LINE_KING,THE_LONG_KISS_GOODNIGHT,THE_MIRROR_HAS_TWO_FACES,THE_MONSTER,THE_NEON_BIBLE,THE_NUTTY_PROFESSOR,THE_PALLBEARER,THE_PEBBLE_AND_THE_PENGUIN,THE_PEOPLE_VS_LARRY_FLYNT,THE_PHANTOM,THE_POMPATUS_OF_LOVE,THE_PORTRAIT_OF_A_LADY,THE_PREACHERS_WIFE,THE_QUEST,THE_QUIET_ROOM,THE_RELIC,THE_RICH_MANS_WIFE,THE_ROCK,THE_RUN_OF_THE_COUNTRY,THE_SCARLET_LETTER,THE_SEARCH_FOR_1-EYED_JIMMY,THE_SECRET_AGENT,THE_SPITFIRE_GRILL,THE_STAR_MAKER,THE_SUBSTANCE_OF_FIRE,THE_SUBSTITUTE,THE_TRUTH_ABOUT_CATS_&_DOGS,THE_UMBRELLAS_OF_CHARBOURG,THE_WAR_AT_HOME,THE_WHOLE_WIDE_WORLD,THE_YOUNG_POISONERS_HANDBOOK,THINGS_TO_DO_IN_DENVER...,THREE_WISHES,TIN_CUP,TOTAL_ECLIPSE,TOUCH,TOY_STORY,TO_DIE_FOR,TO_GILLIAN_ON_HER_37TH_BDAY,TO_WONG_FOO_THANKS_FOR...,TRAINSPOTTING,TREES_LOUNGE,TROMEO_AND_JULIET,TURBULENCE,TWELFTH_NIGHT,TWISTER,TWO_BITS,TWO_MUCH,UNDER_THE_DOMIN_TREE,UNFORGETTABLE,UNHOOK_THE_STARS,UNSTRUNG_HEROES,UP_CLOSE_&_PERSONAL,VAMPIRE_IN_BROOKLYN,WAITING_TO_EXHALE,WALKING_&_TALKING,WELCOME_TO_THE_DOLLHOUSE,WHEN_WE_WERE_KINGS,WHITE_MANS_BURDEN,WHITE_SQUALL,WILD_BILL}
@attribute Roger_Ebert {Con,Mixed,Pro}
@attribute Jeffrey_Lyons {Con,Mixed,Pro}
@attribute Michael_Medved {Con,Mixed,Pro}
@attribute Rex_Reed {Con,Mixed,Pro}
@attribute Gene_Shalit {Con,Mixed,Pro}
@attribute Joel_Siegel {Con,Mixed,Pro}
@attribute Gene_Siskel {Con,Mixed,Pro}
@attribute binaryClass {P,N}

@data
HUNCHBACK_OF_NOTRE_DAME,Pro,Pro,Con,?,Pro,Pro,Pro,N
I_SHOT_ANDY_WARHOL,?,Pro,?,?,?,?,?,N
IF_LUCY_FELL,Con,Con,Con,Con,?,?,Con,P
IM_NOT_RAPPAPORT,Mixed,Pro,Mixed,?,Pro,?,Con,P
IN_LOVE_AND_WAR,Mixed,Mixed,Pro,Mixed,?,Con,Mixed,P
INDEPENDENCE_DAY,?,Mixed,Mixed,Pro,Mixed,Pro,Mixed,N
INFINITY,?,Pro,Con,?,?,?,?,N
IT_TAKES_TWO,?,Pro,Pro,?,?,Con,?,P
ITS_MY_PARTY,Pro,Con,?,?,?,?,Pro,P
JACK,Con,Con,Con,Con,Con,Pro,Con,P
JACK_&_SARAH,?,Pro,Mixed,?,?,?,?,P
JADE,Con,?,Con,Mixed,?,Con,?,P
JAMES_&_THE_GIANT_PEACH,Pro,Pro,?,Pro,Pro,Pro,Pro,N
JANE_EYRE,Pro,Pro,?,Pro,?,Mixed,Pro,N
JERRY_MAGUIRE,Pro,Pro,?,Pro,Mixed,Pro,Pro,N
JINGLE_ALL_THE_WAY,?,?,?,?,?,Pro,?,P
JOURNEY_OF_AUGUST_KING,?,?,?,Con,?,?,?,N
JUDE,Pro,Pro,?,Pro,?,?,Pro,N
JUMANJI,Con,Pro,Pro,?,Mixed,Con,Con,P
JUNGLE_2_JUNGLE,Con,Pro,Con,?,?,Con,Con,P
JURY_DUTY,Con,?,?,?,?,?,?,P
KAMA_SUTRA:_A_TALE_OF_LOVE,Con,?,Mixed,?,?,?,Mixed,N
KANSAS_CITY,Pro,Mixed,?,Con,?,Con,Mixed,N
KAZAAM,?,?,?,?,?,?,Con,P
KICKING_AND_SCREAMING,Pro,Pro,?,?,?,?,?,N
KIDS_IN_THE_HALL:BRAIN_CANDY,Con,Con,?,?,?,?,Pro,N
KINGPIN,Pro,?,?,Con,?,?,Pro,P
KISS_OF_DEATH,Con,Pro,?,Mixed,?,?,Pro,N
LA_CEREMONIE,Pro,?,Pro,?,?,?,?,N
LAND_AND_FREEDOM,?,?,?,?,?,?,Mixed,P
LARGER_THAN_LIFE,Con,Pro,?,Con,?,Con,Pro,P
LAST_DANCE,?,Pro,Con,Mixed,Pro,?,?,P
LAST_MAN_STANDING,Con,?,?,?,?,Con,Mixed,P
LEAVING_LAS_VEGAS,Pro,Con,Con,Pro,Mixed,Pro,Pro,N
LES_MISERABLES,Pro,?,Mixed,?,?,?,?,N
LIAR_LIAR,?,Pro,Pro,?,?,Pro,Pro,N
LITTLE_INDIAN_BIG_CITY,Con,Con,?,?,?,?,Con,P
LOADED,?,Con,Con,?,?,?,?,P
LONE_STAR,?,Pro,?,Con,?,Pro,?,N
LOOKING_FOR_RICHARD,?,Pro,?,Con,?,?,?,N
LOSING_CHASE,?,?,Pro,?,?,?,?,N
LOST_HIGHWAY,Mixed,Con,?,Con,?,?,?,N
LOVE_JONES,Pro,Pro,?,?,Pro,Mixed,Pro,N
MA_SAISON_PREFEREE,?,Pro,?,?,?,?,?,N
MAD_DOG_TIME,?,Con,?,?,?,?,?,N
MAGIC_HUNTER,?,Con,Mixed,?,?,?,?,P
MALLRATS,Con,?,Con,?,?,?,Con,P
MANDELA:_SON_OF_AFRICA...,?,Pro,?,?,?,?,Pro,N
MANNY_&_LO,?,Con,?,?,?,?,?,N
MARGARETS_MUSEUM,?,Pro,?,?,?,?,?,P
MARS_ATTACKS!,Mixed,Mixed,Con,Con,?,Pro,Pro,N
MARVINS_ROOM,Pro,?,Pro,Pro,?,Pro,?,N
MARY_REILLY,Pro,Con,Con,Con,?,Con,Pro,P
MATILDA,Pro,Con,?,?,?,Pro,?,P
MAYBE...MAYBE_NOT,Pro,?,?,Mixed,?,?,?,N
METRO,Pro,Con,Con,?,?,?,Pro,P
MICHAEL,?,Con,Mixed,Con,?,?,?,N
MICHAEL_COLLINS,?,Pro,?,Mixed,?,Pro,?,N
MIGHTY_APHRODITE,Pro,Pro,Mixed,?,?,Pro,Mixed,N
MISSION_IMPOSSIBLE,?,?,Con,Con,?,?,Pro,N
MOLL_FLANDERS,Pro,Pro,Con,Pro,Mixed,Mixed,Mixed,N
MONEY_TRAIN,Con,?,?,?,?,Pro,?,N
MOONLIGHT_&_VALENTINO,?,?,Mixed,Pro,?,Pro,?,P
MOTHER,Pro,Pro,?,Pro,?,?,?,N
MOTHER_NIGHT,?,Pro,Mixed,Pro,?,?,?,N
MR._HOLLANDS_OPUS,Pro,?,Pro,Pro,?,Pro,Pro,P
MR._WRONG,?,Con,?,?,?,?,?,P
MRS._WINTERBOURNE,Mixed,Pro,Con,?,Con,?,Mixed,P
MULHOLLAND_FALLS,Pro,Pro,Mixed,Pro,Con,Con,Mixed,P
MULTIPLICITY,?,Pro,Con,?,?,Mixed,Mixed,N
MUPPET_TREASURE_ISLAND,Mixed,Pro,Pro,?,?,?,Mixed,P
MUTE_WITNESS,Pro,?,Pro,Pro,?,?,Con,N
MY_FELLOW_AMERICANS,?,Pro,Mixed,?,?,Pro,?,N
MYSTERY_SCIENCE_THEATER_3000,Pro,Pro,?,?,?,?,Pro,N
NEW_JERSEY_DRIVE,Pro,?,?,?,?,?,?,N
NICK_OF_TIME,Mixed,Con,Con,?,?,Mixed,?,P
NICO-ICON,Pro,?,?,?,?,?,Pro,N
NIXON,Pro,Pro,Con,Mixed,?,Pro,Pro,N
NOW_AND_THEN,Con,Pro,?,?,?,Con,Con,P
ONCE_UPON_A_TIME_...,Pro,?,?,Mixed,?,?,?,P
ONE_FINE_DAY,?,Con,Con,Con,Con,Con,?,N
OPEN_SEASON,?,Pro,Mixed,?,?,?,?,N
OTHELLO,?,Pro,Pro,Mixed,?,Mixed,?,N
PALOOKAVILLE,?,Pro,?,?,?,?,?,N
PERSUASION,?,Con,?,?,?,Pro,?,P
PHENOMENON,Pro,Pro,Pro,Pro,Pro,Pro,Pro,N
POWDER,Con,Con,?,?,?,?,Con,P
PREFONTAINE,Pro,Pro,?,?,?,?,?,P
PRIMAL_FEAR,Pro,Mixed,?,Pro,?,?,?,P
PRISONER_OF_THE_MOUNTAINS,Pro,?,?,?,?,?,Pro,P
PRIVATE_PARTS,Pro,Pro,?,?,?,Pro,Pro,N
RACE_THE_SUN,Con,?,?,?,?,?,Con,P
RANSOM,Pro,Pro,Con,Mixed,Mixed,Pro,Pro,N
RECKLESS,?,Mixed,Con,Pro,?,?,?,P
RED_FIRECRACKER_GREEN_FIREC,Con,?,?,?,?,?,?,N
RESTORATION,Pro,Pro,Pro,Con,?,Pro,Pro,P
RETURN_OF_THE_JEDI,Pro,Pro,Pro,?,?,Pro,Pro,N
RHYME_&_REASON,Pro,?,?,?,?,Pro,Pro,P
RICHARD_III,Pro,Pro,Pro,Pro,?,Pro,?,P
RIDICULE,Pro,Pro,Pro,?,?,?,Pro,N
ROB_ROY,?,Pro,Mixed,?,Mixed,Pro,?,N
ROMEO_AND_JULIET,Mixed,Mixed,?,Con,?,Mixed,Pro,N
ROSEWOOD,?,Pro,?,Pro,?,Pro,?,N
RUMBLE_IN_THE_BRONX,Pro,Con,?,?,?,Pro,Pro,N
SABRINA,Pro,?,Pro,Mixed,Pro,Mixed,Pro,P
SCREAM,?,Con,?,Con,?,Mixed,?,N
SCREAMERS,Mixed,Pro,Con,Con,?,?,?,P
SECRETS_&_LIES,?,Pro,?,Pro,?,?,?,N
SELENA,?,Pro,Mixed,Mixed,?,?,Mixed,P
SENSE_AND_SENSIBILITY,Mixed,Pro,?,Pro,Pro,Pro,Pro,N
SET_IT_OFF,?,Con,?,?,?,?,Mixed,N
SEVEN,Pro,Pro,Con,Pro,?,?,Pro,N
SGT._BILKO,Pro,Pro,Pro,?,?,Mixed,Pro,P
SHANGHAI_TRIAD,Mixed,?,?,Con,?,?,?,N
SHES_THE_ONE,Mixed,Pro,Pro,?,?,Pro,?,P
SHINE,Pro,Pro,Pro,Pro,Pro,Pro,Pro,N
SHOWGIRLS,Con,Con,?,?,?,?,Con,P
SLEEPERS,Pro,Pro,?,Pro,?,?,Mixed,N
SLING_BLADE,Pro,Pro,?,?,?,Pro,Pro,N
SMILLAS_SENSE_OF_SNOW,Pro,Mixed,?,?,?,Con,Pro,N
SOME_MOTHERS_SON,?,Pro,?,Pro,?,?,?,N
SOMEONE_ELSES_AMERICA,?,Pro,?,?,?,?,?,P
SPACE_JAM,Pro,Pro,?,?,Pro,Pro,Pro,N
SPY_HARD,?,?,Pro,Con,?,?,?,N
STAR_TREK:FIRST_CONTACT,?,Con,Pro,?,?,?,?,N
STEAL_BIG_STEAL_LITTLE,Con,Con,?,Con,?,Con,Con,P
STEALING_BEAUTY,Mixed,Con,?,Con,?,?,?,N
STONEWALL,Mixed,?,?,?,?,?,Pro,N
STRANGE_DAYS,Pro,Con,?,Con,?,Con,Mixed,N
STRIPTEASE,Mixed,Con,Con,Con,Con,?,Con,P
STUART_SAVES_HIS_FAMILY,Pro,?,Pro,?,?,?,?,P
SUBURBIA,?,Con,Mixed,Con,?,Pro,?,N
SUDDEN_DEATH,Mixed,Pro,Pro,?,?,Con,Pro,P
SUNSET_PARK,Mixed,?,?,Con,?,?,Pro,P
SURVIVING_PICASSO,?,?,?,Pro,?,Mixed,?,N
SWEET_NOTHING,Pro,?,?,Pro,?,?,?,P
SWINGERS,?,?,Pro,?,?,?,?,N
THAT_DARN_CAT,Con,Con,?,?,?,?,Con,P
THAT_THING_YOU_DO!,?,?,Pro,Pro,Mixed,?,?,N
THE_ADDICTION,?,Con,?,?,?,?,?,N
THE_ADVENTURES_OF_PINOCCHIO,Mixed,Pro,?,Con,?,?,?,N
THE_AMERICAN_PRESIDENT,?,?,Mixed,Pro,Pro,Pro,?,N
THE_ARRIVAL,Pro,Pro,Pro,?,?,?,Pro,P
THE_ASSOCIATE,?,Pro,Con,?,Pro,Pro,?,N
THE_BASKETBALL_DIARIES,Con,Pro,Mixed,Pro,?,?,Con,N
THE_BEAUTICIAN_AND_THE_BEAST,Mixed,Pro,Con,?,?,Mixed,Mixed,N
THE_BIG_SQUEEZE,Con,?,?,?,?,?,?,P
THE_BIRDCAGE,Pro,Pro,?,Con,Pro,Pro,?,N
THE_CABLE_GUY,Mixed,Con,Pro,Mixed,Mixed,Mixed,Pro,P
THE_CELLULOID_CLOSET,?,?,?,?,?,Pro,?,N
THE_CHAMBER,Mixed,Pro,?,?,?,Mixed,Con,P
THE_CRAFT,?,Con,Con,?,?,?,?,P
THE_CROSSING_GUARD,Mixed,Con,Con,Pro,?,?,Mixed,N
THE_CRUCIBLE,?,Pro,?,Pro,?,Pro,?,N
THE_CURE,Mixed,Pro,Pro,Pro,?,?,Mixed,N
THE_DAYTRIPPERS,?,?,Pro,?,?,Pro,?,N
THE_DOOM_GENERATION,Con,?,?,?,?,?,?,N
THE_EIGHTH_DAY,?,?,?,?,?,?,?,N
THE_EMPIRE_STRIKES_BACK,?,?,Pro,?,?,Pro,?,N
THE_ENGLISH_PATIENT,?,Pro,?,Mixed,Pro,Pro,?,N
THE_EVENING_STAR,?,Pro,Mixed,Pro,?,?,?,N
THE_FAN,?,Con,?,Con,Mixed,Pro,?,P
THE_FIRST_WIVES_CLUB,Mixed,?,?,Pro,Pro,Pro,Mixed,N
THE_FLOWER_OF_MY_SECRET,Con,Pro,Mixed,Mixed,?,?,?,N
THE_FRIGHTENERS,Con,Con,Pro,?,?,?,Mixed,N
THE_FUNERAL,Pro,?,?,Con,?,?,?,N
THE_GHOST_AND_THE_DARKNESS,Con,?,Pro,Pro,?,Pro,Pro,N
THE_GODFATHER,?,Pro,?,?,?,Pro,?,N
THE_GRASS_HARP,?,Pro,Con,Pro,?,Pro,?,P
THE_GREAT_WHITE_HYPE,?,Mixed,?,?,?,?,?,N
THE_ISLAND_OF_DR._MOREAU,?,Mixed,?,?,?,?,?,N
THE_JUROR,Mixed,Con,Mixed,Con,Con,Mixed,Con,P
THE_LAST_GOOD_TIME,Pro,?,?,?,?,?,?,N
THE_LAST_SUPPER,Pro,Mixed,?,?,?,?,Pro,N
THE_LINE_KING,?,?,?,Pro,?,?,?,N
THE_LONG_KISS_GOODNIGHT,Mixed,Mixed,?,Con,?,Pro,Pro,N
THE_MIRROR_HAS_TWO_FACES,?,Con,Con,Con,Pro,Pro,Pro,P
THE_MONSTER,?,Pro,?,?,?,?,?,N
THE_NEON_BIBLE,?,?,?,Con,?,?,?,N
THE_NUTTY_PROFESSOR,Pro,Pro,Mixed,Con,Con,?,?,N
THE_PALLBEARER,?,Pro,Con,?,?,?,?,N
THE_PEBBLE_AND_THE_PENGUIN,?,?,Con,?,?,?,?,P
THE_PEOPLE_VS_LARRY_FLYNT,?,Pro,?,Pro,Pro,Pro,?,N
THE_PHANTOM,Pro,Mixed,Pro,?,Pro,?,Mixed,P
THE_POMPATUS_OF_LOVE,Mixed,Pro,?,?,?,?,?,P
THE_PORTRAIT_OF_A_LADY,Pro,Con,Pro,?,?,?,Pro,N
THE_PREACHERS_WIFE,Pro,Pro,Pro,?,?,Mixed,Pro,P
THE_QUEST,?,?,?,?,?,?,?,P
THE_QUIET_ROOM,?,?,?,?,?,?,?,N
THE_RELIC,Pro,?,Con,?,?,?,?,P
THE_RICH_MANS_WIFE,Mixed,Con,Con,?,?,?,?,P
THE_ROCK,Pro,Mixed,?,?,Pro,?,Mixed,N
THE_RUN_OF_THE_COUNTRY,Mixed,Pro,?,Pro,?,?,Pro,P
THE_SCARLET_LETTER,Con,Con,Con,?,?,Con,?,P
THE_SEARCH_FOR_1-EYED_JIMMY,?,Con,?,?,?,?,?,P
THE_SECRET_AGENT,?,Con,?,Pro,?,Pro,?,N
THE_SPITFIRE_GRILL,Mixed,Pro,Pro,?,Pro,Pro,?,P
THE_STAR_MAKER,Pro,Pro,?,?,?,?,Pro,P
THE_SUBSTANCE_OF_FIRE,Pro,?,?,Pro,?,?,?,N
THE_SUBSTITUTE,Con,Mixed,?,?,?,?,Mixed,P
THE_TRUTH_ABOUT_CATS_&_DOGS,Pro,Pro,Pro,Pro,Mixed,Pro,?,N
THE_UMBRELLAS_OF_CHARBOURG,Pro,Pro,?,Pro,?,Pro,Pro,N
THE_WAR_AT_HOME,?,Pro,?,Pro,?,Con,?,N
THE_WHOLE_WIDE_WORLD,Pro,?,?,?,?,?,Mixed,P
THE_YOUNG_POISONERS_HANDBOOK,Pro,?,?,Pro,?,?,?,N
THINGS_TO_DO_IN_DENVER...,Mixed,Con,?,?,?,Con,?,N
THREE_WISHES,Con,Pro,Pro,?,Mixed,?,?,P
TIN_CUP,Pro,Con,Pro,Mixed,Mixed,Pro,Pro,N
TO_DIE_FOR,Pro,Pro,Pro,Pro,?,Pro,Pro,P
TO_GILLIAN_ON_HER_37TH_BDAY,Mixed,Pro,Mixed,?,?,?,Mixed,P
TO_WONG_FOO_THANKS_FOR...,Mixed,Con,Con,Con,?,Con,Pro,N
TOTAL_ECLIPSE,Mixed,?,?,?,?,?,?,P
TOUCH,Mixed,Con,Con,Con,?,Con,Mixed,P
TOY_STORY,Pro,Pro,?,Pro,Pro,Pro,?,N
TRAINSPOTTING,?,Pro,Con,?,?,Pro,Pro,N
TREES_LOUNGE,?,Con,?,?,?,?,?,N
TROMEO_AND_JULIET,?,Pro,Con,?,?,?,?,P
TURBULENCE,Con,?,Mixed,?,?,?,?,P
TWELFTH_NIGHT,Pro,?,?,?,?,Pro,?,N
TWISTER,Mixed,Con,Mixed,Con,?,Mixed,?,N
TWO_BITS,Con,Mixed,?,?,?,?,?,P
TWO_MUCH,Con,Con,?,Con,?,Con,?,P
UNDER_THE_DOMIN_TREE,?,Mixed,Pro,?,?,?,?,P
UNFORGETTABLE,Con,Con,Pro,Con,?,Con,Pro,P
UNHOOK_THE_STARS,?,?,?,Pro,?,?,?,N
UNSTRUNG_HEROES,Pro,?,Mixed,Pro,?,Pro,Con,N
UP_CLOSE_&_PERSONAL,Pro,Pro,Con,Con,Pro,Pro,Con,N
VAMPIRE_IN_BROOKLYN,Con,Pro,?,?,?,?,Con,P
WAITING_TO_EXHALE,Pro,Pro,?,Con,?,Con,Mixed,N
WALKING_&_TALKING,Pro,Pro,?,?,?,Pro,?,N
WELCOME_TO_THE_DOLLHOUSE,?,?,?,?,?,?,?,N
WHEN_WE_WERE_KINGS,Pro,?,?,?,?,?,Pro,P
WHITE_MANS_BURDEN,Con,Pro,?,Mixed,Con,Pro,Con,N
WHITE_SQUALL,Pro,Pro,Mixed,Pro,?,Con,?,N
WILD_BILL,Con,Pro,Con,Pro,?,Con,Pro,N
