@relation balloon

@attribute id numeric
@attribute raw numeric
@attribute binaryClass {P,N}

@data
183,2.04,N
184,2.04,N
185,2,N
186,2,N
187,2,N
188,2,N
189,2,N
190,2,N
191,2,N
192,2,N
193,2,N
194,2,N
195,2,N
196,2,N
197,2,N
198,1.72,P
199,1.96,N
200,2,N
201,2,N
202,1.96,N
203,1.96,N
204,2,N
205,2,N
206,1.96,N
207,1.88,P
208,1.64,P
209,2,N
210,2.04,N
211,2,N
212,2.06,N
213,2,N
214,2,N
215,2,N
216,2,N
217,1.96,N
218,2.02,N
219,1.92,P
220,1.96,N
221,1.86,P
222,2,N
223,2,N
224,1.98,N
225,2,N
226,2.04,N
227,2.02,N
228,2,N
229,2.02,N
230,2,N
231,2,N
232,2.02,N
233,1.38,P
234,2,N
235,1.96,N
236,1.98,N
237,2,N
238,2.02,N
239,2.02,N
240,2,N
241,1.96,N
242,1.92,P
243,1.92,P
244,1.92,P
245,1.96,N
246,2,N
247,2,N
248,2,N
249,2.02,N
250,2.02,N
251,2.02,N
252,2.02,N
253,2,N
254,2,N
255,1.96,N
256,1.98,N
257,2,N
258,1.96,N
259,2.02,N
260,2,N
261,2.02,N
262,2.02,N
263,2.04,N
264,2.02,N
265,2,N
266,2.04,N
267,2.08,N
268,2.06,N
269,2.04,N
270,2.02,N
271,2,N
272,2,N
273,2.02,N
274,2.04,N
275,2.04,N
276,2.02,N
277,2,N
278,1.78,P
279,1.84,P
280,1.88,P
281,2,N
282,2.04,N
283,2.02,N
284,2,N
285,1.68,P
286,2.02,N
287,2.04,N
288,2.04,N
289,2.04,N
290,2.08,N
291,2,N
292,2.04,N
293,2,N
294,1.72,P
295,1.88,P
296,2,N
297,2.04,N
298,2.02,N
299,2,N
300,2.04,N
301,2.04,N
302,2.02,N
303,2.04,N
304,2.04,N
305,2.02,N
306,2.04,N
307,2.08,N
308,2.08,N
309,2.04,N
310,2.04,N
311,2.06,N
312,2.04,N
313,2.02,N
314,2,N
315,1.76,P
316,1.84,P
317,1.92,P
318,1.84,P
319,1.94,P
320,2,N
321,2.04,N
322,2.06,N
323,2.04,N
324,2.04,N
325,2.02,N
326,2,N
327,2,N
328,2.02,N
329,2.04,N
330,2.02,N
331,2.04,N
332,2.02,N
333,0.72,P
334,2.04,N
335,2.04,N
336,2.04,N
337,2.08,N
338,2.06,N
339,2.02,N
340,2.06,N
341,2.04,N
342,1.82,P
343,1.88,P
344,2.04,N
345,2.02,N
346,2.04,N
347,2.04,N
348,2.04,N
349,1.58,P
350,2.08,N
351,2.02,N
352,2.04,N
353,2,N
354,1.84,P
355,1.94,P
356,2.04,N
357,2.04,N
358,2,N
359,2,N
360,2,N
361,2.02,N
362,2,N
363,2,N
364,2,N
365,2.04,N
366,2.06,N
367,2.04,N
368,1.94,P
369,1.84,P
370,1.84,P
371,1.92,P
372,2,N
373,2.04,N
374,2.06,N
375,2.04,N
376,2.06,N
377,2.1,N
378,2.06,N
379,2.04,N
380,2.04,N
381,2.02,N
382,1.46,P
383,2,N
384,2.04,N
385,2.04,N
386,1.86,P
387,1.7,P
388,2.02,N
389,2.06,N
390,2.04,N
391,2.08,N
392,2.06,N
393,2.04,N
394,2.06,N
395,2,N
396,2.06,N
397,1.96,P
398,1.84,P
399,2.02,N
400,2.04,N
401,2.08,N
402,2.02,N
403,2.06,N
404,2.06,N
405,2.04,N
406,2.08,N
407,1.98,P
408,1.76,P
409,2.06,N
410,2.04,N
411,2.12,N
412,2.06,N
413,1.88,P
414,2.06,N
415,2.06,N
416,2.02,N
417,2.08,N
418,2.02,N
419,1.92,P
420,1.8,P
421,2,P
422,2.04,N
423,2.06,N
424,2.08,N
425,2.08,N
426,2.06,N
427,2.06,N
428,2.08,N
429,2.12,N
430,2.14,N
431,2.14,N
432,2.14,N
433,2.14,N
434,2.12,N
435,2.12,N
436,2.12,N
437,2.12,N
438,2.12,N
439,2.12,N
440,2.08,N
441,2.06,N
442,2.08,N
443,2.1,N
444,2.08,N
445,2.06,N
446,1.94,P
447,1.94,P
448,1.94,P
449,2.08,N
450,2.08,N
451,2.04,N
452,2.06,N
453,2.08,N
454,2.08,N
455,2.12,N
456,2.06,N
457,2.06,N
458,2.02,N
459,1.92,P
460,2.04,N
461,2.08,N
462,2.04,N
463,1.36,P
464,2.08,N
465,2.08,N
466,2.08,N
467,2.1,N
468,2.12,N
469,2.06,N
470,2.08,N
471,2.08,N
472,2.04,N
473,1.64,P
474,2.04,N
475,1.9,P
476,2,P
477,2.06,N
478,2.08,N
479,2.1,N
480,2.1,N
481,2.1,N
482,2.08,N
483,2.08,N
484,2.08,N
485,2.08,N
486,2.08,N
487,2.1,N
488,2.1,N
489,2.1,N
490,2.08,N
491,2.02,P
492,1.96,P
493,1.88,P
494,1.94,P
495,1.96,P
496,1.92,P
497,1.92,P
498,1.92,P
499,1.92,P
500,1.88,P
501,1.94,P
502,2,P
503,2.04,N
504,2.1,N
505,2.1,N
506,2.08,N
507,2.04,N
508,2.06,N
509,2.1,N
510,1.94,P
511,2.1,N
512,2.1,N
513,2.08,N
514,2.08,N
515,2.08,N
516,2.08,N
517,2.1,N
518,2.1,N
519,2.12,N
520,2.1,N
521,2.08,N
522,2.12,N
523,2.16,N
524,2.14,N
525,2.08,N
526,2.08,N
527,2.1,N
528,2.1,N
529,2.08,N
530,2.06,N
531,1.7,P
532,1.96,P
533,1.92,P
534,1.98,P
535,2.04,N
536,2.08,N
537,2.1,N
538,2.12,N
539,2.12,N
540,2.1,N
541,2.08,N
542,2.04,N
543,2.04,N
544,2.08,N
545,2.1,N
546,1.62,P
547,2.1,N
548,2.08,N
549,2.1,N
550,2.12,N
551,2.1,N
552,2.1,N
553,2.16,N
554,2.18,N
555,2.18,N
556,2.16,N
557,2.16,N
558,2.16,N
559,2.16,N
560,2.16,N
561,2.16,N
562,2.16,N
563,2.16,N
564,2.16,N
565,2.16,N
566,2.16,N
567,2.16,N
568,2.16,N
569,2.14,N
570,1.84,P
571,2.1,N
572,2.1,N
573,2.08,N
574,2.1,N
575,2.12,N
576,2.16,N
577,2.12,N
578,2.1,N
579,2.1,N
580,2.08,N
581,2.06,N
582,2.04,P
583,2.04,P
584,2,P
585,1.76,P
586,1.92,P
587,2,P
588,1.92,P
589,2,P
590,2.02,P
591,2.06,N
592,2.1,N
593,2.1,N
594,2.1,N
595,2.1,N
596,2.08,N
597,2.04,P
598,1.94,P
599,1.94,P
600,2,P
601,1.94,P
602,1.88,P
603,1.86,P
604,2.04,P
605,2.08,N
606,2.1,N
607,2.16,N
608,2.12,N
609,1.56,P
610,2.18,N
611,1.84,P
612,2.12,N
613,2.1,N
614,2.12,N
615,2.1,N
616,2.1,N
617,2.12,N
618,1.94,P
619,2.06,N
620,2.16,N
621,2.16,N
622,2.14,N
623,2.12,N
624,2.12,N
625,2.08,N
626,2.12,N
627,1.94,P
628,2,P
629,2.14,N
630,2.16,N
631,2.16,N
632,2.12,N
633,2.12,N
634,2.06,P
635,2.14,N
636,1.92,P
637,2.04,P
638,2.12,N
639,2.14,N
640,2.16,N
641,2.14,N
642,2.1,N
643,2.12,N
644,2.06,P
645,2.14,N
646,2,P
647,1.88,P
648,2.06,P
649,2.12,N
650,2.1,N
651,2.1,N
652,2.18,N
653,2.12,N
654,2.12,N
655,2.12,N
656,1.46,P
657,2.1,N
658,2.12,N
659,1.58,P
660,2.12,N
661,2.06,P
662,2.08,N
663,2.12,N
664,2.16,N
665,2.12,N
666,2.02,P
667,1.92,P
668,1.92,P
669,1.84,P
670,2.08,N
671,2.1,N
672,2.12,N
673,2.16,N
674,2.14,N
675,2.12,N
676,2.16,N
677,2.18,N
678,2.18,N
679,2.18,N
680,2.18,N
681,2.16,N
682,2.16,N
683,2.16,N
684,2.16,N
685,2.18,N
686,2.2,N
687,2.18,N
688,1.48,P
689,2.1,N
690,2.1,N
691,2.12,N
692,2.12,N
693,2.08,N
694,1.96,P
695,1.92,P
696,1.92,P
697,2.08,N
698,2.16,N
699,2.14,N
700,2.08,N
701,2.1,N
702,2.12,N
703,2.14,N
704,2.12,N
705,2.16,N
706,2.16,N
707,0.82,P
708,2.2,N
709,1.48,P
710,2.12,N
711,2.16,N
712,2.08,N
713,1.92,P
714,2.02,P
715,2.16,N
716,2.08,N
717,2.16,N
718,2.14,N
719,2.14,N
720,2.2,N
721,2.16,N
722,2.1,N
723,1.92,P
724,2.16,N
725,2.08,N
726,2.16,N
727,2.16,N
728,2.16,N
729,2.18,N
730,2.18,N
731,2.1,N
732,2,P
733,2.08,N
734,2.16,N
735,2.08,N
736,2.16,N
737,2.16,N
738,2.14,N
739,2.16,N
740,2.16,N
741,2.16,N
742,2.2,N
743,2.2,N
744,2.16,N
745,2.12,N
746,2.16,N
747,2.16,N
748,2.12,N
749,2.12,N
750,2.1,N
751,2.08,P
752,2,P
753,1.82,P
754,1.88,P
755,1.92,P
756,1.96,P
757,1.96,P
758,1.94,P
759,1.92,P
760,1.82,P
761,2.02,P
762,2.1,N
763,2.16,N
764,2.18,N
765,2.16,N
766,2.16,N
767,2.2,N
768,2.2,N
769,2.16,N
770,2.16,N
771,2.16,N
772,2.14,N
773,2.16,N
774,1.6,P
775,2.12,N
776,2.1,N
777,2.16,N
778,2.16,N
779,2,P
780,1.92,P
781,2.08,P
782,2.12,N
783,2.14,N
784,1.52,P
785,2.2,N
786,2.16,N
787,2.16,N
788,2.16,N
789,2.14,N
790,2.14,N
791,2.14,N
792,1.94,P
793,2.1,P
794,2.18,N
795,1.36,P
796,2.2,N
797,2.18,N
798,2.16,N
799,2.16,N
800,2.1,P
801,2.16,N
802,2.04,P
803,1.92,P
804,2.08,P
805,2.12,N
806,2.14,N
807,2.16,N
808,2.22,N
809,2.16,N
810,2.16,N
811,2.16,N
812,2.14,N
813,2.12,N
814,2.16,N
815,2.16,N
816,2.12,N
817,2.08,P
818,2.12,N
819,2.16,N
820,2.18,N
821,2.1,P
822,1.96,P
823,1.92,P
824,1.92,P
825,2.08,P
826,2.12,N
827,2.16,N
828,2.2,N
829,2.2,N
830,2.18,N
831,2.16,N
832,2.16,N
833,2.14,N
834,2.12,N
835,2.12,N
836,2.14,N
837,2.16,N
838,2.16,N
839,2.2,N
840,2.22,N
841,2.2,N
842,2.18,N
843,2.16,N
844,2.12,N
845,2.1,P
846,2.1,P
847,1.96,P
848,1.76,P
849,1.96,P
850,2.08,P
851,1.96,P
852,2.04,P
853,2.1,P
854,2.16,N
855,2.16,N
856,2.16,N
857,2.16,N
858,2.1,P
859,2.14,N
860,2.16,N
861,2.18,N
862,2.16,N
863,2.16,N
864,2.18,N
865,1.96,P
866,2.2,N
867,2.16,N
868,2.16,N
869,2.16,N
870,2.12,N
871,2.06,P
872,2.08,P
873,2.18,N
874,2.12,N
875,2.16,N
876,2.16,N
877,2.16,N
878,2.2,N
879,2.16,N
880,2.18,N
881,1.68,P
882,2.08,P
883,2.18,N
884,2.18,N
885,2.16,N
886,2.18,N
887,2.22,N
888,2.16,N
889,2.12,N
890,1.96,P
891,2.18,N
892,2.1,P
893,1.72,P
894,2.16,N
895,2.18,N
896,2.2,N
897,2.22,N
898,2.16,N
899,2.18,N
900,2.16,N
901,2.1,P
902,1.86,P
903,2.06,P
904,2.06,P
905,2.18,N
906,2.18,N
907,2.16,N
908,2.1,P
909,2.12,N
910,2.16,N
911,1.98,P
912,2.18,N
913,2.18,N
914,2.18,N
915,2.18,N
916,2.18,N
917,2.18,N
918,2.18,N
919,1.88,P
920,2.16,N
921,2.16,N
922,2.12,N
923,2.1,P
924,2.16,N
925,2.2,N
926,2.2,N
927,2.16,N
928,2.06,P
929,1.96,P
930,1.96,P
931,1.94,P
932,1.9,P
933,2.02,P
934,2.14,N
935,2.18,N
936,2.2,N
937,2.22,N
938,2.2,N
939,2.2,N
940,2.24,N
941,2.2,N
942,2.16,N
943,2.18,N
944,2.16,N
945,2.16,N
946,1.76,P
947,2.16,N
948,2.12,N
949,2.16,N
950,2.2,N
951,2.16,N
952,2.1,P
953,2.04,P
954,1.94,P
955,1.94,P
956,1.86,P
957,2.1,P
958,2.16,N
959,2.18,N
960,2.2,N
961,2.18,N
962,2.14,N
963,2.16,N
964,2.2,N
965,2.2,N
966,2.2,N
967,1.08,P
968,2.18,N
969,2.2,N
970,0.64,P
971,2.16,N
972,2.18,N
973,2.18,N
974,2.14,N
975,2.16,N
976,2.18,N
977,2.18,N
978,2.08,P
979,2,P
980,1.96,P
981,1.86,P
982,2.12,P
983,2.14,N
984,2.16,N
985,2.16,N
986,2.16,N
987,2.16,N
988,2.18,N
989,2.2,N
990,2.2,N
991,2.2,N
992,2.2,N
993,2.18,N
994,2.16,N
995,2.16,N
996,2.16,N
997,2.16,N
998,2.16,N
999,2.16,N
1000,2.2,N
1001,2.26,N
1002,2.26,N
1003,2.24,N
1004,2.22,N
1005,2.18,N
1006,1.54,P
1007,2.18,N
1008,2.2,N
1009,2.18,N
1010,2.2,N
1011,2.18,N
1012,2.16,N
1013,2.18,N
1014,2.18,N
1015,2.18,N
1016,2.18,N
1017,1.86,P
1018,1.48,P
1019,1.66,P
1020,2.16,N
1021,2.2,N
1022,2.2,N
1023,2.18,N
1024,2.16,N
1025,2.16,N
1026,0.78,P
1027,2.18,N
1028,2.2,N
1029,2.2,N
1030,2.18,N
1031,2.18,N
1032,2.1,P
1033,2.2,N
1034,2.2,N
1035,2.2,N
1036,2.2,N
1037,2.2,N
1038,2.2,N
1039,2.2,N
1040,2.2,N
1041,2.2,N
1042,0.58,P
1043,2.18,N
1044,2.18,N
1045,2.18,N
1046,2.18,N
1047,2.18,N
1048,2.18,N
1049,2.18,N
1050,2.18,N
1051,2.2,N
1052,2.2,N
1053,2.22,N
1054,2.2,N
1055,2.2,N
1056,1.42,P
1057,2.16,N
1058,2.16,N
1059,2.2,N
1060,2.2,N
1061,2.14,N
1062,2.16,N
1063,2.2,N
1064,2.12,P
1065,2.06,P
1066,1.96,P
1067,2.16,N
1068,2.18,N
1069,2.16,N
1070,2.24,N
1071,2.2,N
1072,2.2,N
1073,2.2,N
1074,2.18,N
1075,2.2,N
1076,2.2,N
1077,2.14,N
1078,2.16,N
1079,2.2,N
1080,2.18,N
1081,2.08,P
1082,2.02,P
1083,1.88,P
1084,2.02,P
1085,2.16,N
1086,2.16,N
1087,2.16,N
1088,2.16,N
1089,2.16,N
1090,2.18,N
1091,2.2,N
1092,2.2,N
1093,2.22,N
1094,2.2,N
1095,2.16,N
1096,1.84,P
1097,1.94,P
1098,1.96,P
1099,2.08,P
1100,2.16,N
1101,2.22,N
1102,2.2,N
1103,2.14,P
1104,2.18,N
1105,1.88,P
1106,2.18,N
1107,2.16,N
1108,2.2,N
1109,2.2,N
1110,2.24,N
1111,2.18,N
1112,2.22,N
1113,2.18,N
1114,2,P
1115,2.08,P
1116,2.22,N
1117,2.14,P
1118,1.94,P
1119,2.18,N
1120,2.2,N
1121,2.24,N
1122,1.92,P
1123,2.22,N
1124,2.2,N
1125,1.74,P
1126,2.08,P
1127,2.18,N
1128,2.22,N
1129,2.16,N
1130,2.2,N
1131,2.2,N
1132,2.18,N
1133,2.2,N
1134,2.22,N
1135,2.2,N
1136,2.26,N
1137,2.34,N
1138,2.36,N
1139,1.88,P
1140,2.26,N
1141,2.22,N
1142,2.2,N
1143,2.2,N
1144,2.22,N
1145,1.72,P
1146,2.28,N
1147,2.3,N
1148,2.28,N
1149,2.22,N
1150,2.2,N
1151,2.22,N
1152,2.2,N
1153,2.18,N
1154,2.2,N
1155,2.2,N
1156,2.16,N
1157,2.2,N
1158,2.24,N
1159,2.12,P
1160,2.16,N
1161,2.06,P
1162,2.24,N
1163,2.24,N
1164,2.22,N
1165,2.28,N
1166,2.22,N
1167,2.24,N
1168,2.2,N
1169,2.24,N
1170,2.18,N
1171,2.2,N
1172,2.22,N
1173,2,P
1174,1.92,P
1175,2.16,N
1176,2.2,N
1177,2.2,N
1178,2.28,N
1179,2.24,N
1180,2.22,N
1181,2.22,N
1182,2.2,N
1183,2.2,N
1184,2.2,N
1185,1.36,P
1186,2.22,N
1187,2.2,N
1188,2.16,N
1189,2.16,N
1190,2.16,N
1191,2.2,N
1192,2.22,N
1193,2.22,N
1194,2.22,N
1195,2.22,N
1196,2.22,N
1197,2.22,N
1198,2.22,N
1199,2.22,N
1200,2.22,N
1201,2.22,N
1202,2.22,N
1203,2.2,N
1204,2.2,N
1205,2.18,N
1206,2.18,N
1207,2.18,N
1208,2.18,N
1209,2.16,N
1210,2.16,N
1211,2.16,N
1212,2.16,N
1213,2.16,N
1214,2.16,N
1215,2.16,N
1216,2.16,N
1217,2.18,N
1218,2.2,N
1219,2.22,N
1220,2.24,N
1221,2.24,N
1222,2.2,N
1223,2.02,P
1224,2.12,P
1225,2,P
1226,1.92,P
1227,2.14,P
1228,2.16,N
1229,2.18,N
1230,2.2,N
1231,2.24,N
1232,2.26,N
1233,2.26,N
1234,2.24,N
1235,2.2,N
1236,2.18,N
1237,2.18,N
1238,2.2,N
1239,2.24,N
1240,2.24,N
1241,2.24,N
1242,2.2,N
1243,2,P
1244,2.04,P
1245,2.24,N
1246,2.2,N
1247,2.22,N
1248,2.2,N
1249,2.24,N
1250,2.28,N
1251,2.3,N
1252,2.32,N
1253,2.08,P
1254,2.04,P
1255,2.24,N
1256,2.18,N
1257,2.22,N
1258,2.24,N
1259,2.24,N
1260,2.2,N
1261,2.3,N
1262,2.2,N
1263,2.02,P
1264,2.24,N
1265,2.16,P
1266,2.22,N
1267,2.24,N
1268,2.24,N
1269,2.24,N
1270,2.24,N
1271,1.8,P
1272,2.12,P
1273,2.24,N
1274,2.22,N
1275,2.24,N
1276,2.24,N
1277,2.24,N
1278,2.28,N
1279,2.24,N
1280,2.2,N
1281,2,P
1282,2.12,P
1283,2.24,N
1284,2.18,N
1285,2.24,N
1286,2.24,N
1287,2.22,N
1288,2.3,N
1289,2.22,N
1290,2.22,N
1291,1.88,P
1292,2.12,P
1293,2.24,N
1294,2.18,N
1295,2.24,N
1296,2.18,N
1297,2.24,N
1298,2.28,N
1299,2.12,P
1300,2.22,N
1301,2.22,N
1302,2.2,N
1303,1.94,P
1304,2.06,P
1305,2.04,P
1306,2.12,P
1307,2.2,N
1308,2.24,N
1309,2.24,N
1310,2.24,N
1311,2.24,N
1312,2.22,N
1313,2.2,N
1314,2.18,N
1315,2.18,N
1316,2.18,N
1317,2.16,P
1318,2.18,N
1319,2.18,N
1320,2.2,N
1321,2.22,N
1322,2.24,N
1323,2.24,N
1324,2.26,N
1325,2.24,N
1326,2.16,P
1327,2,P
1328,2.08,P
1329,2.02,P
1330,2.22,N
1331,2.24,N
1332,2.22,N
1333,2.32,N
1334,2.16,P
1335,2.24,N
1336,2.24,N
1337,2.24,N
1338,2.22,N
1339,2.24,N
1340,2.02,P
1341,2.08,P
1342,2.24,N
1343,2.24,N
1344,2.32,N
1345,2.18,N
1346,2.26,N
1347,2.22,N
1348,2.24,N
1349,2.18,N
1350,2.26,N
1351,2.12,P
1352,1.98,P
1353,2.2,N
1354,2.26,N
1355,2.24,N
1356,2.32,N
1357,2.26,N
1358,2.24,N
1359,2.26,N
1360,2.24,N
1361,2.24,N
1362,2.2,N
1363,2.24,N
1364,2.22,N
1365,2.18,N
1366,2.18,N
1367,2.18,N
1368,2.22,N
1369,2.24,N
1370,2.24,N
1371,2.26,N
1372,2.26,N
1373,2.26,N
1374,2.26,N
1375,2.26,N
1376,2.24,N
1377,2.22,N
1378,2.22,N
1379,2.2,N
1380,2.18,P
1381,2.16,P
1382,2.12,P
1383,2.12,P
1384,2.12,P
1385,2.06,P
1386,2,P
1387,2.06,P
1388,2.06,P
1389,1.9,P
1390,2.06,P
1391,2.2,N
1392,2.24,N
1393,2.26,N
1394,2.28,N
1395,2.24,N
1396,1.76,P
1397,2.32,N
1398,2.24,N
1399,2.26,N
1400,0.72,P
1401,2.24,N
1402,2.18,P
1403,2.2,N
1404,2.2,N
1405,2.26,N
1406,2.24,N
1407,2.08,P
1408,2.08,P
1409,2,P
1410,2.22,N
1411,2.28,N
1412,2.24,N
1413,2.26,N
1414,2.32,N
1415,2.26,N
1416,2.26,N
1417,2.26,N
1418,2.24,N
1419,2.26,N
1420,2.26,N
1421,2.2,N
1422,2.2,N
1423,2.24,N
1424,2.26,N
1425,2.26,N
1426,2.22,N
1427,2.14,P
1428,2.12,P
1429,2.1,P
1430,2.1,P
1431,2.14,P
1432,2.16,P
1433,2.22,N
1434,2.26,N
1435,2.26,N
1436,2.24,N
1437,2.18,P
1438,2.22,N
1439,1.84,P
1440,2.24,N
1441,1.96,P
1442,2.26,N
1443,2.26,N
1444,2.32,N
1445,2.24,N
1446,2.26,N
1447,2.2,N
1448,1.92,P
1449,2.04,P
1450,2.26,N
1451,2.24,N
1452,2.22,N
1453,2.26,N
1454,0.76,P
1455,2.24,N
1456,2.32,N
1457,2.26,N
1458,2.28,N
1459,2.22,N
1460,1.9,P
1461,2.02,P
1462,2.24,N
1463,2.26,N
1464,2.18,P
1465,2.26,N
1466,2.26,N
1467,2.24,N
1468,2.26,N
1469,2.24,N
1470,2.32,N
1471,2.32,N
1472,2.24,N
1473,2.26,N
1474,2.24,N
1475,2.18,P
1476,1.96,P
1477,2.02,P
1478,2.14,P
1479,2.24,N
1480,2.26,N
1481,2.26,N
1482,2.24,N
1483,2.22,N
1484,2.2,N
1485,2.18,P
1486,2.2,N
1487,2.2,N
1488,2.2,N
1489,2.22,N
1490,2.24,N
1491,2.24,N
1492,2.26,N
1493,2.26,N
1494,2.26,N
1495,2.26,N
1496,2.26,N
1497,2.26,N
1498,2.26,N
1499,2.26,N
1500,2.26,N
1501,2.24,N
1502,2.22,N
1503,2.18,P
1504,2.2,N
1505,2.24,N
1506,2.26,N
1507,2.18,P
1508,2.26,N
1509,2.24,N
1510,2.24,N
1511,0.78,P
1512,2.26,N
1513,2.28,N
1514,2.26,N
1515,2.24,N
1516,1.7,P
1517,2.28,N
1518,2.3,N
1519,2.32,N
1520,2.32,N
1521,2.32,N
1522,2.32,N
1523,1.92,P
1524,2.28,N
1525,2.26,N
1526,2.24,N
1527,2.26,N
1528,2.26,N
1529,2.28,N
1530,2.26,N
1531,2.26,N
1532,2.24,N
1533,2.22,N
1534,2.2,N
1535,2.2,N
1536,2.1,P
1537,1.96,P
1538,1.86,P
1539,1.86,P
1540,1.88,P
1541,1.9,P
1542,1.9,P
1543,1.88,P
1544,1.86,P
1545,1.86,P
1546,1.86,P
1547,1.84,P
1548,1.86,P
1549,1.88,P
1550,1.9,P
1551,1.92,P
1552,1.96,P
1553,2.02,P
1554,2.1,P
1555,2.1,P
1556,2.06,P
1557,2,P
1558,2.08,P
1559,2.14,P
1560,2.18,P
1561,2.22,N
1562,2.24,N
1563,2.24,N
1564,2.26,N
1565,2.26,N
1566,2.24,N
1567,2.24,N
1568,2.2,N
1569,2.16,P
1570,2.1,P
1571,2,P
1572,2.08,P
1573,2.06,P
1574,1.86,P
1575,1.94,P
1576,2.16,P
1577,2.2,N
1578,2.22,N
1579,2.24,N
1580,2.26,N
1581,2.26,N
1582,2.26,N
1583,2.28,N
1584,2.28,N
1585,2.28,N
1586,2.28,N
1587,2.28,N
1588,2.28,N
1589,2.28,N
1590,2.28,N
1591,2.28,N
1592,2.28,N
1593,2.26,N
1594,2.26,N
1595,2.24,N
1596,2.28,N
1597,2.32,N
1598,2.32,N
1599,2.32,N
1600,2.28,N
1601,2.24,N
1602,2.26,N
1603,2.26,N
1604,2.26,N
1605,2.24,N
1606,2.24,N
1607,2.24,N
1608,2.26,N
1609,2.26,N
1610,2.26,N
1611,1.52,P
1612,1.96,P
1613,2.26,N
1614,2.26,N
1615,2.26,N
1616,2.26,N
1617,2.26,N
1618,2.26,N
1619,2.26,N
1620,2.26,N
1621,2.26,N
1622,2.26,N
1623,2.26,N
1624,2.26,N
1625,2.26,N
1626,2.26,N
1627,2.26,N
1628,2.26,N
1629,2.26,N
1630,2.26,N
1631,2.24,N
1632,2.24,N
1633,2.22,N
1634,2.22,N
1635,2.2,N
1636,2.2,N
1637,2.2,N
1638,2.18,P
1639,2.18,P
1640,2.18,P
1641,2.2,N
1642,2.2,N
1643,2.2,N
1644,2.2,N
1645,2.2,N
1646,2.18,P
1647,2.18,P
1648,2.2,N
1649,2.2,N
1650,2.24,N
1651,2.26,N
1652,2.26,N
1653,1.68,P
1654,2.26,N
1655,2.26,N
1656,2.24,N
1657,2.24,N
1658,2.24,N
1659,2.24,N
1660,2.08,P
1661,2.2,N
1662,2.26,N
1663,2.26,N
1664,2.26,N
1665,2.26,N
1666,2.26,N
1667,2.26,N
1668,2.26,N
1669,2.26,N
1670,2.28,N
1671,2.28,N
1672,2.28,N
1673,2.26,N
1674,2.26,N
1675,2.26,N
1676,2.26,N
1677,2.26,N
1678,2.26,N
1679,2.26,N
1680,2.26,N
1681,2.26,N
